inst#,actual,predicted,error,prediction
1,10:50,24:101,+,0.074
2,10:50,24:101,+,0.073
3,10:50,24:101,+,0.142
4,10:50,24:101,+,0.099
5,10:50,24:101,+,0.089
6,10:50,24:101,+,0.091
7,10:50,24:101,+,0.107
8,10:50,24:101,+,0.096
9,10:50,24:101,+,0.124
10,10:50,24:101,+,0.115
11,10:50,24:101,+,0.118
12,10:50,24:101,+,0.15
13,10:50,24:101,+,0.127
14,10:50,24:101,+,0.097
15,10:50,24:101,+,0.101
16,10:50,24:101,+,0.115
17,10:50,24:101,+,0.081
18,10:50,24:101,+,0.097
19,10:50,24:101,+,0.105
20,10:50,24:101,+,0.144
21,10:50,24:101,+,0.098
22,10:50,24:101,+,0.139
23,10:50,24:101,+,0.138
24,48:186,24:101,+,0.088
25,48:186,20:97,+,0.074
26,48:186,24:101,+,0.101
27,48:186,24:101,+,0.07
28,48:186,24:101,+,0.083
29,48:186,24:101,+,0.07
30,48:186,24:101,+,0.066
31,48:186,24:101,+,0.107
32,48:186,24:101,+,0.091
33,48:186,20:97,+,0.073
34,48:186,48:186,,0.066
35,20:97,24:101,+,0.141
36,20:97,24:101,+,0.115
37,20:97,24:101,+,0.152
38,20:97,24:101,+,0.125
39,20:97,24:101,+,0.147
40,20:97,24:101,+,0.126
41,20:97,24:101,+,0.171
42,20:97,24:101,+,0.15
43,20:97,24:101,+,0.137
44,20:97,24:101,+,0.12
45,20:97,24:101,+,0.126
46,20:97,24:101,+,0.144
47,20:97,24:101,+,0.122
48,20:97,24:101,+,0.106
49,20:97,24:101,+,0.118
50,20:97,24:101,+,0.153
51,20:97,24:101,+,0.116
52,20:97,24:101,+,0.112
53,20:97,24:101,+,0.133
54,20:97,24:101,+,0.131
55,20:97,24:101,+,0.099
56,20:97,24:101,+,0.137
57,20:97,24:101,+,0.138
58,20:97,24:101,+,0.134
59,20:97,24:101,+,0.137
60,20:97,24:101,+,0.148
61,20:97,24:101,+,0.13
62,20:97,24:101,+,0.105
63,20:97,24:101,+,0.104
64,20:97,24:101,+,0.104
65,20:97,24:101,+,0.131
66,20:97,24:101,+,0.116
67,20:97,24:101,+,0.107
68,20:97,24:101,+,0.096
69,20:97,24:101,+,0.094
70,20:97,24:101,+,0.113
71,20:97,24:101,+,0.111
72,20:97,24:101,+,0.117
73,20:97,24:101,+,0.137
74,20:97,24:101,+,0.102
75,20:97,24:101,+,0.128
76,20:97,24:101,+,0.137
77,20:97,24:101,+,0.145
78,20:97,24:101,+,0.124
79,20:97,24:101,+,0.142
80,20:97,24:101,+,0.123
81,20:97,24:101,+,0.12
82,20:97,24:101,+,0.13
83,20:97,24:101,+,0.131
84,20:97,24:101,+,0.13
85,20:97,24:101,+,0.156
86,20:97,24:101,+,0.117
87,20:97,24:101,+,0.14
88,20:97,24:101,+,0.121
89,20:97,24:101,+,0.144
90,20:97,24:101,+,0.139
91,20:97,24:101,+,0.109
92,20:97,20:97,,0.108
93,20:97,24:101,+,0.145
94,20:97,24:101,+,0.1
95,20:97,24:101,+,0.116
96,20:97,24:101,+,0.153
97,20:97,24:101,+,0.128
98,20:97,24:101,+,0.134
99,20:97,24:101,+,0.111
100,20:97,24:101,+,0.125
101,20:97,24:101,+,0.106
102,20:97,24:101,+,0.117
103,20:97,24:101,+,0.08
104,20:97,24:101,+,0.125
105,20:97,24:101,+,0.183
106,20:97,24:101,+,0.132
107,20:97,24:101,+,0.118
108,20:97,24:101,+,0.119
109,20:97,24:101,+,0.119
110,20:97,24:101,+,0.107
111,20:97,24:101,+,0.134
112,20:97,24:101,+,0.136
113,20:97,24:101,+,0.12
114,20:97,24:101,+,0.133
115,20:97,24:101,+,0.11
116,20:97,24:101,+,0.147
117,20:97,24:101,+,0.113
118,20:97,24:101,+,0.155
119,20:97,24:101,+,0.162
120,20:97,24:101,+,0.13
121,20:97,24:101,+,0.164
122,20:97,24:101,+,0.115
123,20:97,24:101,+,0.122
124,20:97,24:101,+,0.131
125,20:97,24:101,+,0.139
126,20:97,24:101,+,0.155
127,20:97,24:101,+,0.136
128,20:97,24:101,+,0.132
129,20:97,24:101,+,0.134
130,20:97,24:101,+,0.12
131,20:97,24:101,+,0.154
132,20:97,24:101,+,0.125
133,20:97,24:101,+,0.148
134,20:97,24:101,+,0.103
135,20:97,24:101,+,0.108
136,20:97,24:101,+,0.127
137,20:97,24:101,+,0.1
138,20:97,24:101,+,0.103
139,20:97,24:101,+,0.139
140,20:97,24:101,+,0.112
141,20:97,24:101,+,0.109
142,20:97,17:57,+,0.084
143,20:97,24:101,+,0.146
144,20:97,24:101,+,0.126
145,20:97,24:101,+,0.122
146,20:97,24:101,+,0.108
147,20:97,20:97,,0.121
148,20:97,24:101,+,0.124
149,20:97,24:101,+,0.106
150,20:97,24:101,+,0.141
151,20:97,24:101,+,0.138
152,20:97,24:101,+,0.11
153,20:97,24:101,+,0.128
154,20:97,24:101,+,0.132
155,20:97,24:101,+,0.112
156,20:97,24:101,+,0.099
157,20:97,24:101,+,0.13
158,20:97,24:101,+,0.135
159,20:97,24:101,+,0.145
160,20:97,24:101,+,0.167
161,20:97,24:101,+,0.12
162,20:97,24:101,+,0.135
163,20:97,24:101,+,0.149
164,20:97,24:101,+,0.14
165,20:97,24:101,+,0.09
166,20:97,24:101,+,0.133
167,20:97,24:101,+,0.144
168,20:97,24:101,+,0.145
169,20:97,24:101,+,0.158
