inst#,actual,predicted,error,prediction
1,39:116,24:101,+,0.092
2,39:116,26:103,+,0.914
3,39:116,24:101,+,0.145
4,39:116,24:101,+,0.115
5,39:116,24:101,+,0.144
6,39:116,24:101,+,0.143
7,39:116,24:101,+,0.124
8,39:116,24:101,+,0.137
9,39:116,24:101,+,0.145
10,39:116,20:97,+,0.072
11,39:116,24:101,+,0.124
12,39:116,24:101,+,0.116
13,39:116,24:101,+,0.122
14,39:116,24:101,+,0.128
15,39:116,24:101,+,0.108
16,39:116,24:101,+,0.125
17,39:116,34:111,+,0.101
18,39:116,24:101,+,0.096
19,39:116,24:101,+,0.147
20,39:116,24:101,+,0.12
21,39:116,24:101,+,0.097
22,39:116,34:111,+,0.091
23,39:116,24:101,+,0.112
24,39:116,24:101,+,0.135
25,39:116,24:101,+,0.105
26,39:116,24:101,+,0.11
27,39:116,24:101,+,0.132
28,39:116,24:101,+,0.166
29,39:116,33:110,+,0.246
30,39:116,24:101,+,0.148
31,39:116,24:101,+,0.081
32,39:116,24:101,+,0.118
33,39:116,24:101,+,0.105
34,39:116,24:101,+,0.131
35,39:116,24:101,+,0.139
36,39:116,24:101,+,0.09
37,39:116,24:101,+,0.138
38,39:116,24:101,+,0.126
39,39:116,24:101,+,0.145
40,39:116,24:101,+,0.146
41,39:116,24:101,+,0.153
42,39:116,24:101,+,0.122
43,39:116,24:101,+,0.125
44,39:116,24:101,+,0.147
45,39:116,24:101,+,0.097
46,39:116,24:101,+,0.156
47,39:116,24:101,+,0.136
48,39:116,24:101,+,0.112
49,39:116,24:101,+,0.109
50,39:116,20:97,+,0.154
51,39:116,24:101,+,0.134
52,39:116,20:97,+,0.116
53,39:116,24:101,+,0.118
54,39:116,24:101,+,0.114
55,39:116,24:101,+,0.098
56,39:116,24:101,+,0.09
57,39:116,24:101,+,0.142
58,39:116,24:101,+,0.102
59,39:116,24:101,+,0.165
60,39:116,34:111,+,0.238
61,39:116,24:101,+,0.118
62,39:116,24:101,+,0.101
63,39:116,24:101,+,0.125
64,39:116,24:101,+,0.1
65,39:116,24:101,+,0.118
66,39:116,24:101,+,0.118
67,39:116,20:97,+,0.189
68,39:116,24:101,+,0.149
69,39:116,24:101,+,0.127
70,39:116,24:101,+,0.137
71,39:116,24:101,+,0.124
72,39:116,24:101,+,0.104
73,39:116,24:101,+,0.172
74,39:116,24:101,+,0.123
75,39:116,1:8,+,0.116
76,39:116,24:101,+,0.135
77,39:116,24:101,+,0.105
78,39:116,24:101,+,0.143
79,39:116,24:101,+,0.163
80,39:116,24:101,+,0.122
81,39:116,24:101,+,0.132
82,39:116,24:101,+,0.107
83,39:116,24:101,+,0.135
84,39:116,24:101,+,0.089
85,39:116,24:101,+,0.124
86,39:116,24:101,+,0.091
87,39:116,24:101,+,0.1
88,39:116,24:101,+,0.121
89,39:116,24:101,+,0.139
90,39:116,24:101,+,0.119
91,39:116,24:101,+,0.118
92,39:116,24:101,+,0.097
93,39:116,24:101,+,0.102
94,39:116,24:101,+,0.092
95,39:116,24:101,+,0.15
96,39:116,24:101,+,0.141
97,39:116,24:101,+,0.122
98,34:111,24:101,+,0.111
99,34:111,1:8,+,0.11
100,34:111,24:101,+,0.16
101,34:111,24:101,+,0.158
102,34:111,24:101,+,0.186
103,34:111,24:101,+,0.157
104,34:111,24:101,+,0.13
105,34:111,24:101,+,0.118
106,34:111,24:101,+,0.157
107,34:111,24:101,+,0.072
108,34:111,24:101,+,0.178
109,34:111,24:101,+,0.301
110,34:111,24:101,+,0.176
111,34:111,24:101,+,0.088
112,34:111,24:101,+,0.167
113,34:111,24:101,+,0.104
114,34:111,24:101,+,0.076
115,34:111,24:101,+,0.126
116,34:111,24:101,+,0.126
117,34:111,24:101,+,0.133
118,34:111,24:101,+,0.138
119,34:111,24:101,+,0.138
120,34:111,24:101,+,0.155
121,34:111,24:101,+,0.101
122,34:111,24:101,+,0.115
123,34:111,24:101,+,0.116
124,34:111,24:101,+,0.132
125,34:111,3:39,+,0.095
126,34:111,24:101,+,0.159
127,34:111,24:101,+,0.184
128,34:111,34:111,,0.115
129,34:111,34:111,,0.113
130,34:111,34:111,,0.131
131,34:111,24:101,+,0.113
132,34:111,24:101,+,0.11
133,34:111,24:101,+,0.133
134,34:111,24:101,+,0.123
135,34:111,5:44,+,0.178
136,34:111,24:101,+,0.134
137,34:111,24:101,+,0.117
138,34:111,24:101,+,0.114
139,34:111,24:101,+,0.129
140,34:111,24:101,+,0.116
141,34:111,24:101,+,0.108
142,34:111,24:101,+,0.118
143,34:111,24:101,+,0.111
144,34:111,24:101,+,0.113
145,34:111,24:101,+,0.081
146,34:111,24:101,+,0.223
147,34:111,24:101,+,0.121
148,34:111,24:101,+,0.139
149,34:111,24:101,+,0.149
150,34:111,24:101,+,0.133
151,34:111,24:101,+,0.133
152,34:111,24:101,+,0.239
153,34:111,24:101,+,0.092
154,34:111,24:101,+,0.127
155,34:111,20:97,+,0.165
156,34:111,24:101,+,0.124
157,34:111,24:101,+,0.118
158,34:111,24:101,+,0.114
159,34:111,24:101,+,0.114
160,34:111,24:101,+,0.13
161,34:111,24:101,+,0.146
162,34:111,24:101,+,0.145
163,34:111,24:101,+,0.126
164,34:111,24:101,+,0.184
165,34:111,24:101,+,0.123
166,34:111,24:101,+,0.18
167,34:111,24:101,+,0.129
168,34:111,24:101,+,0.093
169,34:111,24:101,+,0.104
170,34:111,24:101,+,0.15
171,34:111,24:101,+,0.137
172,34:111,24:101,+,0.103
173,34:111,24:101,+,0.111
174,34:111,24:101,+,0.184
175,34:111,24:101,+,0.116
176,34:111,24:101,+,0.105
177,34:111,24:101,+,0.113
178,34:111,24:101,+,0.153
179,34:111,24:101,+,0.147
180,34:111,34:111,,0.087
181,34:111,24:101,+,0.146
182,34:111,6:45,+,0.143
183,34:111,24:101,+,0.093
184,34:111,24:101,+,0.143
185,34:111,24:101,+,0.148
186,34:111,24:101,+,0.158
187,34:111,34:111,,0.091
188,34:111,24:101,+,0.121
189,34:111,1:8,+,0.13
190,34:111,24:101,+,0.127
191,34:111,24:101,+,0.109
192,34:111,24:101,+,0.099
193,34:111,24:101,+,0.103
194,34:111,24:101,+,0.159
195,34:111,24:101,+,0.138
196,34:111,5:44,+,0.215
197,34:111,24:101,+,0.161
198,34:111,24:101,+,0.091
199,34:111,24:101,+,0.172
200,34:111,24:101,+,0.107
201,34:111,24:101,+,0.098
202,34:111,24:101,+,0.123
203,34:111,24:101,+,0.12
204,34:111,24:101,+,0.112
205,34:111,24:101,+,0.117
206,34:111,34:111,,0.107
207,34:111,24:101,+,0.154
208,34:111,20:97,+,0.156
209,34:111,24:101,+,0.107
210,34:111,24:101,+,0.125
211,34:111,24:101,+,0.126
212,34:111,24:101,+,0.133
213,34:111,24:101,+,0.106
214,34:111,24:101,+,0.132
215,34:111,24:101,+,0.115
216,34:111,24:101,+,0.097
217,34:111,24:101,+,0.123
218,34:111,24:101,+,0.122
219,34:111,24:101,+,0.152
220,34:111,24:101,+,0.115
221,34:111,24:101,+,0.128
222,34:111,24:101,+,0.11
223,34:111,24:101,+,0.09
224,34:111,24:101,+,0.132
225,34:111,24:101,+,0.111
226,34:111,24:101,+,0.105
227,34:111,24:101,+,0.106
228,34:111,24:101,+,0.084
229,34:111,24:101,+,0.115
230,34:111,24:101,+,0.107
231,34:111,24:101,+,0.143
232,34:111,24:101,+,0.09
233,34:111,24:101,+,0.132
234,34:111,24:101,+,0.142
235,34:111,24:101,+,0.143
236,34:111,24:101,+,0.118
237,34:111,24:101,+,0.145
238,34:111,34:111,,0.103
239,34:111,24:101,+,0.152
240,34:111,24:101,+,0.127
241,34:111,31:108,+,0.181
242,34:111,24:101,+,0.173
243,34:111,24:101,+,0.132
244,34:111,24:101,+,0.109
245,34:111,24:101,+,0.154
246,34:111,24:101,+,0.107
247,34:111,24:101,+,0.119
248,34:111,24:101,+,0.109
249,34:111,24:101,+,0.112
250,34:111,24:101,+,0.16
251,34:111,24:101,+,0.138
252,9:49,24:101,+,0.102
253,9:49,24:101,+,0.085
254,9:49,24:101,+,0.091
255,9:49,24:101,+,0.147
256,9:49,24:101,+,0.107
257,9:49,24:101,+,0.117
258,9:49,24:101,+,0.103
259,9:49,6:45,+,0.098
260,9:49,11:51,+,0.145
261,9:49,24:101,+,0.113
262,9:49,24:101,+,0.075
263,9:49,24:101,+,0.155
264,9:49,24:101,+,0.151
265,9:49,24:101,+,0.074
266,9:49,24:101,+,0.132
267,9:49,24:101,+,0.146
268,9:49,24:101,+,0.126
269,9:49,24:101,+,0.153
270,9:49,24:101,+,0.079
271,9:49,10:50,+,0.557
272,9:49,10:50,+,0.486
273,9:49,11:51,+,0.129
274,9:49,9:49,,0.636
275,9:49,24:101,+,0.145
276,9:49,9:49,,0.218
277,9:49,24:101,+,0.129
278,9:49,24:101,+,0.111
279,9:49,24:101,+,0.148
280,37:114,20:97,+,0.082
281,37:114,24:101,+,0.11
282,37:114,24:101,+,0.169
283,37:114,24:101,+,0.141
284,37:114,24:101,+,0.086
285,37:114,24:101,+,0.108
286,37:114,24:101,+,0.127
287,37:114,24:101,+,0.118
288,37:114,24:101,+,0.139
289,37:114,24:101,+,0.16
290,37:114,24:101,+,0.116
291,37:114,24:101,+,0.088
292,37:114,24:101,+,0.117
293,37:114,24:101,+,0.126
294,37:114,24:101,+,0.153
295,37:114,24:101,+,0.089
296,37:114,24:101,+,0.111
297,37:114,34:111,+,0.136
298,37:114,24:101,+,0.164
299,37:114,24:101,+,0.122
300,37:114,24:101,+,0.171
301,37:114,24:101,+,0.147
302,37:114,24:101,+,0.111
303,37:114,24:101,+,0.159
304,37:114,24:101,+,0.151
305,37:114,24:101,+,0.143
306,37:114,24:101,+,0.121
307,37:114,24:101,+,0.141
308,37:114,24:101,+,0.15
309,37:114,24:101,+,0.137
310,37:114,24:101,+,0.17
311,37:114,24:101,+,0.117
312,37:114,24:101,+,0.127
313,37:114,24:101,+,0.111
314,37:114,24:101,+,0.149
315,37:114,24:101,+,0.142
316,37:114,24:101,+,0.109
317,37:114,24:101,+,0.121
318,37:114,24:101,+,0.13
319,37:114,24:101,+,0.126
320,37:114,24:101,+,0.105
321,37:114,24:101,+,0.14
322,37:114,24:101,+,0.099
323,37:114,24:101,+,0.116
324,37:114,24:101,+,0.124
325,37:114,24:101,+,0.146
326,37:114,24:101,+,0.137
327,37:114,24:101,+,0.112
328,37:114,24:101,+,0.15
329,37:114,24:101,+,0.147
330,37:114,24:101,+,0.12
331,37:114,24:101,+,0.105
332,37:114,24:101,+,0.142
333,37:114,24:101,+,0.125
334,37:114,24:101,+,0.115
335,37:114,24:101,+,0.108
336,37:114,24:101,+,0.108
337,37:114,24:101,+,0.093
338,37:114,24:101,+,0.131
339,37:114,24:101,+,0.138
340,37:114,24:101,+,0.149
341,37:114,24:101,+,0.09
342,37:114,24:101,+,0.109
343,37:114,24:101,+,0.143
344,37:114,24:101,+,0.088
345,37:114,18:60,+,0.278
346,37:114,20:97,+,0.12
347,37:114,20:97,+,0.186
348,37:114,24:101,+,0.137
349,37:114,24:101,+,0.163
350,37:114,24:101,+,0.156
351,37:114,24:101,+,0.129
352,37:114,24:101,+,0.134
353,37:114,24:101,+,0.151
354,37:114,24:101,+,0.102
355,37:114,24:101,+,0.127
356,37:114,24:101,+,0.119
357,37:114,24:101,+,0.139
358,37:114,24:101,+,0.101
359,37:114,24:101,+,0.169
360,37:114,24:101,+,0.18
361,37:114,24:101,+,0.141
362,37:114,24:101,+,0.09
363,37:114,24:101,+,0.144
364,37:114,24:101,+,0.083
365,37:114,24:101,+,0.105
366,37:114,24:101,+,0.144
367,37:114,24:101,+,0.132
368,37:114,24:101,+,0.144
369,37:114,24:101,+,0.131
370,37:114,24:101,+,0.107
371,37:114,24:101,+,0.192
372,37:114,1:8,+,0.168
373,37:114,22:99,+,0.115
374,37:114,24:101,+,0.11
375,37:114,24:101,+,0.095
376,37:114,24:101,+,0.162
377,37:114,24:101,+,0.156
378,37:114,24:101,+,0.13
379,37:114,24:101,+,0.077
380,37:114,24:101,+,0.133
381,37:114,20:97,+,0.099
382,37:114,24:101,+,0.133
383,37:114,24:101,+,0.087
384,37:114,24:101,+,0.097
385,37:114,24:101,+,0.15
386,37:114,24:101,+,0.11
387,37:114,24:101,+,0.147
388,37:114,24:101,+,0.155
389,37:114,24:101,+,0.164
390,37:114,24:101,+,0.134
391,37:114,24:101,+,0.16
392,37:114,24:101,+,0.151
393,37:114,24:101,+,0.155
394,37:114,24:101,+,0.123
395,37:114,24:101,+,0.132
396,37:114,24:101,+,0.126
397,37:114,24:101,+,0.11
398,37:114,24:101,+,0.081
399,37:114,24:101,+,0.259
400,37:114,24:101,+,0.14
401,37:114,24:101,+,0.1
402,37:114,24:101,+,0.113
403,37:114,24:101,+,0.126
404,37:114,24:101,+,0.158
405,37:114,24:101,+,0.116
406,37:114,24:101,+,0.131
407,37:114,24:101,+,0.161
408,1:8,20:97,+,0.135
409,1:8,34:111,+,0.096
410,1:8,24:101,+,0.149
411,1:8,24:101,+,0.164
412,1:8,24:101,+,0.11
413,1:8,24:101,+,0.139
414,1:8,24:101,+,0.128
415,1:8,24:101,+,0.131
416,1:8,24:101,+,0.145
417,1:8,24:101,+,0.106
418,1:8,24:101,+,0.14
419,1:8,24:101,+,0.116
420,1:8,24:101,+,0.17
421,1:8,24:101,+,0.115
422,1:8,9:49,+,0.418
423,1:8,24:101,+,0.202
424,1:8,24:101,+,0.141
425,1:8,24:101,+,0.149
426,1:8,20:97,+,0.101
427,1:8,24:101,+,0.132
428,1:8,1:8,,0.147
429,1:8,24:101,+,0.134
430,1:8,24:101,+,0.109
431,1:8,24:101,+,0.106
432,1:8,24:101,+,0.137
433,1:8,24:101,+,0.136
434,1:8,24:101,+,0.141
435,1:8,24:101,+,0.123
436,1:8,24:101,+,0.117
437,1:8,24:101,+,0.121
438,1:8,1:8,,0.141
439,1:8,1:8,,0.172
440,1:8,24:101,+,0.112
441,1:8,24:101,+,0.203
442,1:8,24:101,+,0.15
443,1:8,24:101,+,0.127
444,1:8,20:97,+,0.097
445,1:8,24:101,+,0.108
446,1:8,24:101,+,0.188
447,1:8,24:101,+,0.119
448,1:8,24:101,+,0.124
449,1:8,24:101,+,0.124
450,1:8,24:101,+,0.129
451,1:8,24:101,+,0.095
452,1:8,24:101,+,0.111
453,1:8,34:111,+,0.121
454,1:8,24:101,+,0.138
455,1:8,24:101,+,0.124
456,1:8,24:101,+,0.105
457,20:97,24:101,+,0.162
458,20:97,24:101,+,0.087
459,20:97,24:101,+,0.123
460,20:97,24:101,+,0.098
461,20:97,24:101,+,0.133
462,20:97,24:101,+,0.148
463,20:97,24:101,+,0.132
464,20:97,24:101,+,0.133
465,20:97,24:101,+,0.133
466,20:97,24:101,+,0.119
467,20:97,20:97,,0.113
468,20:97,20:97,,0.126
469,20:97,24:101,+,0.121
470,20:97,24:101,+,0.121
471,20:97,24:101,+,0.098
472,20:97,24:101,+,0.153
473,20:97,24:101,+,0.118
474,20:97,24:101,+,0.151
475,20:97,24:101,+,0.154
476,20:97,24:101,+,0.128
477,20:97,24:101,+,0.138
478,20:97,24:101,+,0.137
479,20:97,24:101,+,0.096
480,20:97,24:101,+,0.152
481,20:97,24:101,+,0.123
482,20:97,24:101,+,0.144
483,20:97,24:101,+,0.125
484,20:97,24:101,+,0.084
485,20:97,24:101,+,0.134
486,20:97,24:101,+,0.107
487,20:97,24:101,+,0.124
488,20:97,24:101,+,0.133
489,20:97,24:101,+,0.132
490,20:97,24:101,+,0.168
491,20:97,24:101,+,0.11
492,20:97,24:101,+,0.144
493,20:97,24:101,+,0.111
494,20:97,24:101,+,0.126
495,20:97,24:101,+,0.127
496,20:97,24:101,+,0.149
497,20:97,34:111,+,0.151
498,20:97,34:111,+,0.119
499,20:97,24:101,+,0.108
500,20:97,24:101,+,0.147
501,20:97,24:101,+,0.123
502,20:97,24:101,+,0.1
503,20:97,24:101,+,0.157
504,20:97,24:101,+,0.121
505,20:97,24:101,+,0.148
506,20:97,24:101,+,0.211
507,20:97,24:101,+,0.145
508,20:97,24:101,+,0.101
509,20:97,24:101,+,0.098
510,20:97,24:101,+,0.134
511,20:97,24:101,+,0.112
512,20:97,24:101,+,0.122
513,20:97,24:101,+,0.15
514,20:97,24:101,+,0.103
515,20:97,24:101,+,0.143
516,20:97,24:101,+,0.117
517,20:97,24:101,+,0.087
518,20:97,24:101,+,0.105
519,20:97,24:101,+,0.105
520,20:97,24:101,+,0.133
521,20:97,24:101,+,0.123
522,20:97,24:101,+,0.104
523,20:97,24:101,+,0.138
524,20:97,24:101,+,0.123
525,20:97,24:101,+,0.116
526,20:97,24:101,+,0.129
527,20:97,24:101,+,0.146
528,20:97,24:101,+,0.117
529,20:97,24:101,+,0.121
530,20:97,24:101,+,0.126
531,20:97,24:101,+,0.141
532,20:97,24:101,+,0.109
533,20:97,24:101,+,0.142
534,20:97,24:101,+,0.151
535,20:97,24:101,+,0.128
536,20:97,24:101,+,0.144
537,20:97,24:101,+,0.13
538,20:97,20:97,,0.189
539,20:97,24:101,+,0.132
540,20:97,24:101,+,0.115
541,20:97,24:101,+,0.1
542,20:97,24:101,+,0.142
543,20:97,24:101,+,0.119
544,20:97,24:101,+,0.098
545,20:97,24:101,+,0.112
546,20:97,34:111,+,0.144
547,20:97,24:101,+,0.099
548,20:97,24:101,+,0.107
549,20:97,24:101,+,0.117
550,20:97,24:101,+,0.142
551,20:97,24:101,+,0.156
552,20:97,24:101,+,0.15
553,20:97,24:101,+,0.116
554,20:97,24:101,+,0.119
555,20:97,24:101,+,0.137
556,20:97,24:101,+,0.13
557,20:97,24:101,+,0.125
558,20:97,24:101,+,0.1
559,20:97,24:101,+,0.103
560,20:97,24:101,+,0.156
561,20:97,24:101,+,0.15
562,20:97,20:97,,0.094
563,20:97,24:101,+,0.15
564,20:97,24:101,+,0.1
565,20:97,24:101,+,0.148
566,20:97,24:101,+,0.094
567,20:97,24:101,+,0.099
568,20:97,24:101,+,0.142
569,20:97,24:101,+,0.123
570,20:97,24:101,+,0.145
571,20:97,24:101,+,0.14
572,20:97,24:101,+,0.137
573,20:97,24:101,+,0.102
574,20:97,24:101,+,0.114
575,20:97,24:101,+,0.121
576,20:97,24:101,+,0.122
577,20:97,24:101,+,0.129
578,20:97,24:101,+,0.129
579,20:97,24:101,+,0.157
580,20:97,24:101,+,0.099
581,20:97,24:101,+,0.118
582,20:97,24:101,+,0.158
583,20:97,24:101,+,0.109
584,20:97,24:101,+,0.096
585,20:97,24:101,+,0.127
586,20:97,24:101,+,0.131
587,20:97,24:101,+,0.111
588,20:97,34:111,+,0.152
589,20:97,24:101,+,0.216
590,20:97,24:101,+,0.148
591,20:97,24:101,+,0.136
592,20:97,34:111,+,0.106
593,20:97,24:101,+,0.085
594,20:97,9:49,+,0.882
595,20:97,24:101,+,0.123
596,20:97,24:101,+,0.085
597,20:97,34:111,+,0.243
598,20:97,24:101,+,0.102
599,20:97,24:101,+,0.146
