inst#,actual,predicted,error,prediction
1,10:50,24:101,+,0.074
2,10:50,24:101,+,0.078
3,10:50,24:101,+,0.137
4,10:50,24:101,+,0.105
5,10:50,24:101,+,0.102
6,10:50,24:101,+,0.093
7,10:50,24:101,+,0.109
8,10:50,24:101,+,0.111
9,10:50,24:101,+,0.134
10,10:50,24:101,+,0.123
11,10:50,24:101,+,0.121
12,10:50,24:101,+,0.152
13,10:50,24:101,+,0.14
14,10:50,11:51,+,0.161
15,10:50,9:49,+,0.065
16,10:50,24:101,+,0.114
17,10:50,3:39,+,0.065
18,10:50,24:101,+,0.104
19,10:50,24:101,+,0.113
20,10:50,24:101,+,0.141
21,10:50,24:101,+,0.178
22,10:50,24:101,+,0.143
23,10:50,24:101,+,0.146
24,48:186,18:60,+,0.275
25,48:186,18:60,+,0.188
26,48:186,24:101,+,0.119
27,48:186,48:186,,0.519
28,48:186,3:39,+,0.156
29,48:186,6:45,+,0.129
30,48:186,18:60,+,0.616
31,48:186,24:101,+,0.15
32,48:186,6:45,+,0.112
33,48:186,18:60,+,0.517
34,48:186,18:60,+,0.63
35,20:97,24:101,+,0.136
36,20:97,24:101,+,0.157
37,20:97,24:101,+,0.151
38,20:97,24:101,+,0.125
39,20:97,24:101,+,0.142
40,20:97,24:101,+,0.152
41,20:97,24:101,+,0.167
42,20:97,24:101,+,0.146
43,20:97,24:101,+,0.134
44,20:97,24:101,+,0.132
45,20:97,24:101,+,0.164
46,20:97,24:101,+,0.141
47,20:97,24:101,+,0.135
48,20:97,24:101,+,0.12
49,20:97,24:101,+,0.118
50,20:97,24:101,+,0.147
51,20:97,24:101,+,0.127
52,20:97,24:101,+,0.123
53,20:97,24:101,+,0.135
54,20:97,24:101,+,0.131
55,20:97,24:101,+,0.105
56,20:97,24:101,+,0.14
57,20:97,20:97,,0.133
58,20:97,24:101,+,0.145
59,20:97,24:101,+,0.133
60,20:97,24:101,+,0.136
61,20:97,24:101,+,0.133
62,20:97,20:97,,0.106
63,20:97,24:101,+,0.114
64,20:97,24:101,+,0.129
65,20:97,24:101,+,0.148
66,20:97,20:97,,0.184
67,20:97,24:101,+,0.132
68,20:97,20:97,,0.137
69,20:97,24:101,+,0.148
70,20:97,24:101,+,0.121
71,20:97,24:101,+,0.118
72,20:97,24:101,+,0.115
73,20:97,24:101,+,0.129
74,20:97,20:97,,0.117
75,20:97,24:101,+,0.138
76,20:97,24:101,+,0.142
77,20:97,24:101,+,0.128
78,20:97,24:101,+,0.14
79,20:97,24:101,+,0.143
80,20:97,24:101,+,0.123
81,20:97,24:101,+,0.158
82,20:97,24:101,+,0.12
83,20:97,24:101,+,0.12
84,20:97,24:101,+,0.135
85,20:97,24:101,+,0.151
86,20:97,24:101,+,0.118
87,20:97,24:101,+,0.13
88,20:97,24:101,+,0.121
89,20:97,24:101,+,0.145
90,20:97,24:101,+,0.136
91,20:97,24:101,+,0.1
92,20:97,24:101,+,0.122
93,20:97,24:101,+,0.146
94,20:97,31:108,+,0.063
95,20:97,24:101,+,0.166
96,20:97,24:101,+,0.153
97,20:97,24:101,+,0.137
98,20:97,24:101,+,0.136
99,20:97,24:101,+,0.163
100,20:97,24:101,+,0.141
101,20:97,24:101,+,0.114
102,20:97,24:101,+,0.134
103,20:97,24:101,+,0.136
104,20:97,24:101,+,0.134
105,20:97,24:101,+,0.173
106,20:97,24:101,+,0.136
107,20:97,24:101,+,0.157
108,20:97,24:101,+,0.118
109,20:97,24:101,+,0.124
110,20:97,24:101,+,0.107
111,20:97,24:101,+,0.128
112,20:97,24:101,+,0.13
113,20:97,24:101,+,0.13
114,20:97,24:101,+,0.139
115,20:97,24:101,+,0.108
116,20:97,24:101,+,0.146
117,20:97,24:101,+,0.108
118,20:97,24:101,+,0.146
119,20:97,24:101,+,0.161
120,20:97,24:101,+,0.13
121,20:97,24:101,+,0.153
122,20:97,24:101,+,0.121
123,20:97,24:101,+,0.12
124,20:97,24:101,+,0.131
125,20:97,24:101,+,0.134
126,20:97,24:101,+,0.162
127,20:97,24:101,+,0.143
128,20:97,24:101,+,0.137
129,20:97,24:101,+,0.153
130,20:97,24:101,+,0.13
131,20:97,24:101,+,0.148
132,20:97,24:101,+,0.133
133,20:97,24:101,+,0.156
134,20:97,20:97,,0.13
135,20:97,24:101,+,0.148
136,20:97,24:101,+,0.121
137,20:97,24:101,+,0.153
138,20:97,24:101,+,0.154
139,20:97,24:101,+,0.133
140,20:97,24:101,+,0.126
141,20:97,24:101,+,0.113
142,20:97,14:54,+,0.105
143,20:97,24:101,+,0.136
144,20:97,24:101,+,0.138
145,20:97,24:101,+,0.134
146,20:97,24:101,+,0.122
147,20:97,20:97,,0.121
148,20:97,24:101,+,0.123
149,20:97,24:101,+,0.146
150,20:97,24:101,+,0.133
151,20:97,24:101,+,0.137
152,20:97,24:101,+,0.152
153,20:97,24:101,+,0.128
154,20:97,24:101,+,0.129
155,20:97,24:101,+,0.113
156,20:97,20:97,,0.13
157,20:97,24:101,+,0.13
158,20:97,24:101,+,0.121
159,20:97,24:101,+,0.141
160,20:97,24:101,+,0.166
161,20:97,24:101,+,0.111
162,20:97,24:101,+,0.13
163,20:97,24:101,+,0.156
164,20:97,24:101,+,0.13
165,20:97,24:101,+,0.116
166,20:97,24:101,+,0.13
167,20:97,24:101,+,0.137
168,20:97,24:101,+,0.144
169,20:97,24:101,+,0.157
170,20:97,24:101,+,0.143
171,20:97,24:101,+,0.134
172,20:97,24:101,+,0.118
173,20:97,24:101,+,0.115
174,20:97,20:97,,0.122
175,20:97,24:101,+,0.101
176,20:97,24:101,+,0.143
177,20:97,24:101,+,0.096
178,20:97,48:186,+,0.224
179,20:97,24:101,+,0.114
180,20:97,1:8,+,0.183
181,20:97,24:101,+,0.12
182,20:97,24:101,+,0.125
183,20:97,24:101,+,0.128
184,20:97,24:101,+,0.143
185,20:97,24:101,+,0.078
186,20:97,24:101,+,0.134
187,20:97,24:101,+,0.137
188,20:97,24:101,+,0.153
189,20:97,24:101,+,0.136
190,20:97,24:101,+,0.146
191,20:97,24:101,+,0.088
192,20:97,24:101,+,0.134
193,20:97,24:101,+,0.122
194,20:97,24:101,+,0.119
195,20:97,24:101,+,0.135
196,20:97,24:101,+,0.184
197,20:97,20:97,,0.155
198,20:97,42:119,+,0.337
199,20:97,24:101,+,0.129
200,20:97,24:101,+,0.113
201,20:97,24:101,+,0.156
202,20:97,24:101,+,0.161
203,20:97,24:101,+,0.133
204,20:97,24:101,+,0.139
205,20:97,24:101,+,0.145
206,20:97,24:101,+,0.128
207,20:97,24:101,+,0.098
208,20:97,24:101,+,0.117
209,20:97,24:101,+,0.135
210,20:97,24:101,+,0.124
211,20:97,24:101,+,0.149
212,20:97,24:101,+,0.164
213,20:97,24:101,+,0.173
214,20:97,24:101,+,0.152
215,20:97,24:101,+,0.138
216,20:97,9:49,+,0.074
217,20:97,24:101,+,0.158
218,20:97,24:101,+,0.166
219,20:97,24:101,+,0.133
220,20:97,24:101,+,0.12
221,20:97,24:101,+,0.143
222,20:97,24:101,+,0.14
223,20:97,24:101,+,0.114
224,20:97,24:101,+,0.097
225,20:97,24:101,+,0.134
226,20:97,24:101,+,0.121
227,20:97,24:101,+,0.106
228,20:97,24:101,+,0.135
229,20:97,24:101,+,0.143
230,20:97,24:101,+,0.137
231,20:97,24:101,+,0.127
232,20:97,24:101,+,0.134
233,20:97,24:101,+,0.114
234,20:97,24:101,+,0.129
235,20:97,24:101,+,0.132
236,20:97,24:101,+,0.1
237,20:97,20:97,,0.202
238,20:97,24:101,+,0.127
239,20:97,24:101,+,0.122
240,20:97,24:101,+,0.139
241,20:97,24:101,+,0.153
242,20:97,24:101,+,0.125
243,20:97,24:101,+,0.168
244,20:97,24:101,+,0.173
245,20:97,24:101,+,0.136
246,20:97,24:101,+,0.085
247,20:97,24:101,+,0.178
248,20:97,24:101,+,0.137
249,20:97,24:101,+,0.137
250,20:97,24:101,+,0.182
251,20:97,46:161,+,0.217
252,20:97,24:101,+,0.147
253,20:97,24:101,+,0.159
254,20:97,24:101,+,0.148
255,20:97,24:101,+,0.143
256,20:97,24:101,+,0.152
257,20:97,24:101,+,0.126
258,20:97,24:101,+,0.134
259,20:97,24:101,+,0.134
260,20:97,20:97,,0.126
261,20:97,24:101,+,0.139
262,28:105,24:101,+,0.107
263,28:105,24:101,+,0.151
264,28:105,24:101,+,0.122
265,28:105,24:101,+,0.135
266,28:105,24:101,+,0.153
267,28:105,24:101,+,0.133
268,28:105,24:101,+,0.089
269,28:105,24:101,+,0.122
270,28:105,24:101,+,0.127
271,28:105,24:101,+,0.115
272,28:105,24:101,+,0.133
273,28:105,24:101,+,0.156
274,28:105,24:101,+,0.126
275,28:105,24:101,+,0.137
276,28:105,24:101,+,0.119
277,28:105,24:101,+,0.167
278,28:105,24:101,+,0.145
279,28:105,24:101,+,0.114
280,28:105,24:101,+,0.139
281,28:105,24:101,+,0.141
282,28:105,24:101,+,0.145
283,28:105,24:101,+,0.118
284,28:105,24:101,+,0.169
285,28:105,24:101,+,0.16
286,28:105,24:101,+,0.134
287,28:105,24:101,+,0.117
288,28:105,24:101,+,0.106
289,28:105,46:161,+,0.122
290,28:105,24:101,+,0.14
291,28:105,24:101,+,0.131
292,28:105,24:101,+,0.102
293,28:105,24:101,+,0.142
294,28:105,24:101,+,0.128
295,28:105,24:101,+,0.135
296,28:105,24:101,+,0.123
297,28:105,24:101,+,0.13
298,28:105,24:101,+,0.119
299,28:105,24:101,+,0.132
300,28:105,24:101,+,0.11
301,28:105,24:101,+,0.139
302,28:105,24:101,+,0.148
303,28:105,24:101,+,0.114
304,28:105,24:101,+,0.124
305,28:105,24:101,+,0.138
306,28:105,24:101,+,0.122
307,28:105,24:101,+,0.093
308,28:105,24:101,+,0.142
309,28:105,24:101,+,0.116
310,28:105,48:186,+,0.345
311,28:105,24:101,+,0.131
312,28:105,24:101,+,0.128
313,28:105,24:101,+,0.14
314,28:105,24:101,+,0.118
315,28:105,24:101,+,0.122
316,28:105,24:101,+,0.131
317,28:105,24:101,+,0.148
318,28:105,24:101,+,0.109
319,28:105,24:101,+,0.133
320,28:105,24:101,+,0.124
321,28:105,24:101,+,0.104
322,28:105,24:101,+,0.123
323,28:105,24:101,+,0.135
324,28:105,24:101,+,0.105
325,28:105,24:101,+,0.163
326,28:105,20:97,+,0.117
327,28:105,24:101,+,0.133
328,28:105,24:101,+,0.107
329,28:105,24:101,+,0.15
330,28:105,24:101,+,0.135
331,28:105,24:101,+,0.136
332,28:105,24:101,+,0.104
333,28:105,24:101,+,0.115
334,28:105,24:101,+,0.103
335,28:105,24:101,+,0.138
336,28:105,24:101,+,0.121
337,28:105,24:101,+,0.138
338,28:105,24:101,+,0.102
339,28:105,24:101,+,0.132
340,28:105,10:50,+,0.087
341,28:105,24:101,+,0.122
342,28:105,24:101,+,0.131
343,28:105,24:101,+,0.122
344,28:105,24:101,+,0.161
345,28:105,24:101,+,0.14
346,28:105,24:101,+,0.125
347,28:105,24:101,+,0.155
348,28:105,24:101,+,0.132
349,28:105,24:101,+,0.125
350,28:105,24:101,+,0.1
351,28:105,24:101,+,0.132
352,28:105,24:101,+,0.137
353,28:105,24:101,+,0.123
354,28:105,24:101,+,0.117
355,28:105,20:97,+,0.134
356,31:108,24:101,+,0.134
357,31:108,24:101,+,0.127
358,31:108,24:101,+,0.129
359,31:108,24:101,+,0.134
360,31:108,38:115,+,0.237
361,31:108,20:97,+,0.118
362,31:108,24:101,+,0.132
363,31:108,24:101,+,0.129
364,31:108,24:101,+,0.111
365,31:108,24:101,+,0.168
366,31:108,24:101,+,0.13
367,31:108,24:101,+,0.125
368,31:108,24:101,+,0.167
369,31:108,24:101,+,0.137
370,31:108,1:8,+,0.164
371,31:108,24:101,+,0.14
372,31:108,24:101,+,0.133
373,31:108,24:101,+,0.193
374,31:108,24:101,+,0.117
375,31:108,48:186,+,0.214
376,31:108,24:101,+,0.137
377,31:108,24:101,+,0.174
378,31:108,24:101,+,0.107
379,31:108,24:101,+,0.143
380,31:108,24:101,+,0.119
381,31:108,24:101,+,0.138
382,31:108,24:101,+,0.136
383,31:108,24:101,+,0.159
384,31:108,24:101,+,0.136
385,31:108,24:101,+,0.132
386,31:108,24:101,+,0.133
387,31:108,20:97,+,0.134
388,31:108,24:101,+,0.117
389,31:108,24:101,+,0.143
390,31:108,24:101,+,0.143
391,31:108,24:101,+,0.119
392,31:108,24:101,+,0.139
393,31:108,24:101,+,0.176
394,31:108,24:101,+,0.118
