inst#,actual,predicted,error,prediction
1,13:53,13:53,,0.353
2,13:53,15:55,+,0.248
3,13:53,24:101,+,0.227
4,13:53,15:55,+,0.176
5,13:53,37:114,+,0.116
6,13:53,9:49,+,0.156
7,13:53,20:97,+,0.104
8,13:53,13:53,,0.127
9,13:53,1:8,+,0.236
10,13:53,35:112,+,0.22
11,13:53,31:108,+,0.094
12,13:53,12:52,+,0.213
13,13:53,24:101,+,0.142
14,13:53,15:55,+,0.135
15,13:53,8:48,+,0.138
16,13:53,15:55,+,0.131
17,13:53,12:52,+,0.158
18,13:53,10:50,+,0.135
19,13:53,17:57,+,0.191
20,13:53,16:56,+,0.179
21,13:53,13:53,,0.428
22,13:53,17:57,+,0.137
23,13:53,14:54,+,0.247
24,13:53,11:51,+,0.479
25,13:53,10:50,+,0.124
26,13:53,13:53,,0.264
27,13:53,13:53,,0.184
28,13:53,24:101,+,0.108
29,13:53,13:53,,0.358
30,13:53,4:43,+,0.095
31,13:53,15:55,+,0.135
32,13:53,17:57,+,0.353
33,13:53,16:56,+,0.116
34,13:53,14:54,+,0.226
35,13:53,11:51,+,0.225
36,13:53,40:117,+,0.102
37,13:53,20:97,+,0.139
38,13:53,8:48,+,0.135
39,13:53,8:48,+,0.189
40,13:53,12:52,+,0.602
41,13:53,16:56,+,0.308
42,13:53,21:98,+,0.428
43,13:53,17:57,+,0.098
44,13:53,13:53,,0.169
45,13:53,13:53,,0.344
46,13:53,7:46,+,0.071
47,39:116,24:101,+,0.132
48,39:116,24:101,+,0.124
49,39:116,24:101,+,0.15
50,39:116,24:101,+,0.16
51,39:116,34:111,+,0.151
52,39:116,20:97,+,0.212
53,39:116,24:101,+,0.163
54,39:116,24:101,+,0.142
55,39:116,24:101,+,0.22
56,39:116,24:101,+,0.145
57,39:116,20:97,+,0.12
58,39:116,24:101,+,0.159
59,39:116,24:101,+,0.148
60,39:116,20:97,+,0.159
61,39:116,24:101,+,0.191
62,39:116,24:101,+,0.177
63,39:116,24:101,+,0.214
64,39:116,24:101,+,0.189
65,39:116,24:101,+,0.157
66,39:116,24:101,+,0.176
67,39:116,24:101,+,0.203
68,39:116,34:111,+,0.162
69,39:116,24:101,+,0.147
70,39:116,37:114,+,0.351
71,39:116,24:101,+,0.157
72,39:116,24:101,+,0.135
73,39:116,38:115,+,0.164
74,39:116,24:101,+,0.159
75,39:116,39:116,,0.881
76,39:116,24:101,+,0.118
77,39:116,24:101,+,0.19
78,39:116,31:108,+,0.148
79,39:116,24:101,+,0.132
80,39:116,38:115,+,0.129
81,39:116,34:111,+,0.19
82,39:116,20:97,+,0.081
83,39:116,24:101,+,0.143
84,39:116,24:101,+,0.129
85,39:116,24:101,+,0.133
86,39:116,24:101,+,0.172
87,39:116,34:111,+,0.103
88,39:116,24:101,+,0.128
89,39:116,33:110,+,0.113
90,39:116,39:116,,0.232
91,39:116,24:101,+,0.144
92,39:116,24:101,+,0.197
93,39:116,24:101,+,0.152
94,39:116,39:116,,0.126
95,39:116,24:101,+,0.16
96,39:116,34:111,+,0.127
97,39:116,29:106,+,0.262
98,39:116,24:101,+,0.148
99,39:116,24:101,+,0.162
100,39:116,20:97,+,0.134
101,39:116,24:101,+,0.096
102,39:116,24:101,+,0.137
103,39:116,24:101,+,0.121
104,39:116,24:101,+,0.148
105,39:116,20:97,+,0.131
106,39:116,48:186,+,0.242
107,39:116,24:101,+,0.158
108,39:116,20:97,+,0.15
109,39:116,20:97,+,0.143
110,39:116,20:97,+,0.109
111,39:116,22:99,+,0.801
112,39:116,24:101,+,0.123
113,39:116,41:118,+,0.087
114,39:116,24:101,+,0.17
115,39:116,24:101,+,0.144
116,39:116,34:111,+,0.175
117,39:116,20:97,+,0.128
118,39:116,39:116,,0.103
119,39:116,37:114,+,0.443
120,39:116,39:116,,0.858
121,39:116,20:97,+,0.147
122,39:116,24:101,+,0.149
123,39:116,24:101,+,0.184
124,39:116,37:114,+,0.123
125,39:116,24:101,+,0.174
126,39:116,24:101,+,0.156
127,39:116,39:116,,0.106
128,39:116,37:114,+,0.324
129,39:116,24:101,+,0.106
130,39:116,24:101,+,0.091
131,39:116,34:111,+,0.128
132,39:116,50:241,+,0.111
133,39:116,20:97,+,0.184
134,39:116,24:101,+,0.141
135,39:116,24:101,+,0.116
136,39:116,34:111,+,0.108
137,39:116,29:106,+,0.232
138,39:116,20:97,+,0.149
139,39:116,39:116,,0.764
140,39:116,13:53,+,0.285
141,39:116,33:110,+,0.278
142,39:116,24:101,+,0.151
143,39:116,24:101,+,0.106
144,39:116,24:101,+,0.123
145,39:116,39:116,,0.178
146,39:116,31:108,+,0.136
147,39:116,20:97,+,0.16
148,39:116,39:116,,0.132
149,39:116,34:111,+,0.15
150,39:116,8:48,+,0.197
151,39:116,6:45,+,0.17
152,39:116,46:161,+,0.239
153,39:116,24:101,+,0.107
154,39:116,24:101,+,0.167
155,39:116,24:101,+,0.144
156,39:116,24:101,+,0.156
157,39:116,24:101,+,0.16
158,39:116,24:101,+,0.12
159,39:116,24:101,+,0.152
160,39:116,34:111,+,0.15
161,39:116,24:101,+,0.139
162,39:116,22:99,+,0.453
163,39:116,34:111,+,0.222
164,39:116,20:97,+,0.11
165,39:116,24:101,+,0.151
166,39:116,24:101,+,0.25
167,39:116,24:101,+,0.135
168,39:116,39:116,,0.894
169,39:116,24:101,+,0.229
170,39:116,24:101,+,0.155
171,39:116,39:116,,0.214
172,39:116,24:101,+,0.138
173,39:116,24:101,+,0.133
174,39:116,22:99,+,0.118
175,39:116,29:106,+,0.152
176,39:116,24:101,+,0.125
177,39:116,24:101,+,0.117
178,39:116,24:101,+,0.127
179,39:116,31:108,+,0.12
180,39:116,24:101,+,0.166
181,39:116,24:101,+,0.114
182,39:116,24:101,+,0.192
183,39:116,8:48,+,0.079
184,39:116,24:101,+,0.106
185,39:116,24:101,+,0.17
186,39:116,24:101,+,0.132
187,39:116,24:101,+,0.146
188,39:116,24:101,+,0.199
189,39:116,24:101,+,0.111
190,39:116,39:116,,0.74
191,39:116,24:101,+,0.136
192,39:116,24:101,+,0.133
193,39:116,24:101,+,0.193
194,39:116,40:117,+,0.12
195,39:116,20:97,+,0.26
196,39:116,24:101,+,0.161
197,39:116,40:117,+,0.12
198,39:116,34:111,+,0.149
199,39:116,24:101,+,0.114
200,39:116,11:51,+,0.107
201,39:116,37:114,+,0.227
202,39:116,24:101,+,0.162
203,39:116,24:101,+,0.123
204,39:116,24:101,+,0.089
205,39:116,24:101,+,0.16
206,39:116,20:97,+,0.125
207,39:116,24:101,+,0.124
208,39:116,34:111,+,0.13
209,39:116,37:114,+,0.364
210,20:97,24:101,+,0.131
211,20:97,24:101,+,0.139
212,20:97,24:101,+,0.147
213,20:97,24:101,+,0.164
214,20:97,20:97,,0.133
215,20:97,24:101,+,0.143
