inst#,actual,predicted,error,prediction
1,20:97,24:101,+,0.15
2,20:97,24:101,+,0.15
3,20:97,20:97,,0.309
4,20:97,36:113,+,0.615
5,20:97,24:101,+,0.15
6,20:97,24:101,+,0.211
7,20:97,24:101,+,0.15
8,20:97,24:101,+,0.15
9,20:97,24:101,+,0.15
10,20:97,24:101,+,0.15
11,20:97,24:101,+,0.243
12,20:97,24:101,+,0.191
13,20:97,20:97,,0.236
14,20:97,20:97,,0.309
15,20:97,24:101,+,0.269
16,20:97,24:101,+,0.15
17,20:97,37:114,+,0.3
18,20:97,34:111,+,0.557
19,20:97,23:100,+,0.479
20,20:97,24:101,+,0.15
21,20:97,24:101,+,0.15
22,20:97,20:97,,0.333
23,20:97,34:111,+,0.162
24,20:97,24:101,+,0.15
25,20:97,34:111,+,0.162
26,20:97,24:101,+,0.15
27,20:97,33:110,+,0.273
28,20:97,24:101,+,0.211
29,20:97,20:97,,0.292
30,20:97,24:101,+,0.229
31,20:97,34:111,+,0.5
32,20:97,24:101,+,0.192
33,20:97,24:101,+,0.15
34,20:97,39:116,+,0.311
35,20:97,24:101,+,0.191
36,20:97,24:101,+,0.192
37,20:97,24:101,+,0.206
38,20:97,24:101,+,0.192
39,20:97,24:101,+,0.15
40,20:97,24:101,+,0.249
41,20:97,24:101,+,0.15
42,20:97,24:101,+,0.132
43,20:97,24:101,+,0.334
44,20:97,24:101,+,0.192
45,20:97,20:97,,0.309
46,20:97,24:101,+,0.15
47,20:97,24:101,+,0.192
48,20:97,38:115,+,0.391
49,20:97,31:108,+,0.217
50,20:97,24:101,+,0.15
51,20:97,24:101,+,0.15
52,20:97,24:101,+,0.192
53,20:97,38:115,+,0.3
54,20:97,20:97,,0.222
55,20:97,28:105,+,0.356
56,20:97,17:57,+,0.331
57,20:97,24:101,+,0.15
58,20:97,24:101,+,0.192
59,20:97,1:8,+,0.2
60,20:97,24:101,+,0.15
61,20:97,24:101,+,0.192
62,20:97,20:97,,0.194
63,20:97,34:111,+,0.162
64,20:97,24:101,+,0.15
65,20:97,37:114,+,0.299
66,20:97,20:97,,0.292
67,20:97,24:101,+,0.15
68,20:97,24:101,+,0.142
69,20:97,37:114,+,0.147
70,20:97,20:97,,0.309
71,20:97,34:111,+,0.348
72,20:97,24:101,+,0.192
73,20:97,24:101,+,0.232
74,20:97,24:101,+,0.142
75,20:97,31:108,+,0.238
76,20:97,24:101,+,0.15
77,20:97,20:97,,0.571
78,20:97,24:101,+,0.15
79,20:97,38:115,+,0.296
80,20:97,38:115,+,0.164
81,20:97,20:97,,0.194
82,20:97,24:101,+,0.15
83,20:97,24:101,+,0.15
84,20:97,11:51,+,0.339
85,20:97,24:101,+,0.166
86,20:97,24:101,+,0.142
87,20:97,24:101,+,0.175
88,20:97,24:101,+,0.15
89,20:97,24:101,+,0.192
90,20:97,31:108,+,0.31
91,20:97,24:101,+,0.15
92,20:97,24:101,+,0.142
93,20:97,24:101,+,0.192
94,20:97,24:101,+,0.243
95,20:97,20:97,,0.309
96,20:97,24:101,+,0.15
97,20:97,24:101,+,0.192
98,20:97,24:101,+,0.206
99,20:97,24:101,+,0.15
100,20:97,24:101,+,0.191
101,20:97,24:101,+,0.15
102,20:97,20:97,,0.727
103,20:97,24:101,+,0.15
104,20:97,24:101,+,0.175
105,20:97,24:101,+,0.192
106,20:97,24:101,+,0.227
107,20:97,34:111,+,0.444
108,20:97,24:101,+,0.15
109,20:97,24:101,+,0.15
110,20:97,24:101,+,0.192
111,20:97,20:97,,0.309
112,20:97,24:101,+,0.15
113,20:97,22:99,+,0.199
114,20:97,24:101,+,0.192
115,20:97,24:101,+,0.15
116,20:97,24:101,+,0.15
117,20:97,20:97,,0.655
118,20:97,24:101,+,0.15
119,20:97,34:111,+,0.203
120,20:97,24:101,+,0.192
121,20:97,34:111,+,0.399
122,20:97,24:101,+,0.191
123,20:97,24:101,+,0.192
124,20:97,24:101,+,0.15
125,20:97,36:113,+,0.827
126,20:97,33:110,+,0.268
127,20:97,24:101,+,0.191
128,20:97,38:115,+,0.332
129,20:97,37:114,+,0.147
130,20:97,19:96,+,0.286
131,20:97,20:97,,0.634
132,20:97,24:101,+,0.15
133,20:97,44:121,+,0.287
