inst#,actual,predicted,error,prediction
1,37:114,24:101,+,0.143
2,37:114,24:101,+,0.133
3,37:114,24:101,+,0.133
4,37:114,24:101,+,0.143
5,37:114,24:101,+,0.149
6,37:114,24:101,+,0.151
7,37:114,34:111,+,0.214
8,37:114,24:101,+,0.133
9,37:114,24:101,+,0.141
10,37:114,37:114,,0.202
11,37:114,24:101,+,0.133
12,37:114,20:97,+,0.155
13,37:114,24:101,+,0.141
14,37:114,20:97,+,0.227
15,37:114,24:101,+,0.143
16,37:114,24:101,+,0.136
17,37:114,24:101,+,0.143
18,37:114,24:101,+,0.133
19,37:114,33:110,+,0.224
20,37:114,24:101,+,0.133
21,37:114,24:101,+,0.143
22,37:114,24:101,+,0.143
23,37:114,24:101,+,0.133
24,37:114,24:101,+,0.141
25,37:114,24:101,+,0.143
26,37:114,24:101,+,0.141
27,37:114,44:121,+,0.187
28,37:114,24:101,+,0.141
29,37:114,20:97,+,0.292
30,37:114,24:101,+,0.133
31,37:114,37:114,,0.202
32,37:114,37:114,,0.324
33,37:114,20:97,+,0.385
34,37:114,24:101,+,0.193
35,37:114,20:97,+,0.292
36,37:114,24:101,+,0.141
37,37:114,24:101,+,0.143
38,37:114,20:97,+,0.3
39,37:114,24:101,+,0.133
40,37:114,24:101,+,0.143
41,37:114,24:101,+,0.141
42,37:114,24:101,+,0.141
43,37:114,37:114,,0.202
44,37:114,24:101,+,0.141
45,37:114,24:101,+,0.141
46,37:114,24:101,+,0.143
47,37:114,37:114,,0.286
48,37:114,37:114,,0.202
49,37:114,24:101,+,0.141
50,37:114,24:101,+,0.141
51,37:114,24:101,+,0.133
52,37:114,37:114,,0.307
53,37:114,24:101,+,0.133
54,37:114,24:101,+,0.141
55,37:114,24:101,+,0.136
56,37:114,24:101,+,0.141
57,37:114,24:101,+,0.141
58,37:114,24:101,+,0.133
59,37:114,24:101,+,0.141
60,37:114,24:101,+,0.143
61,37:114,24:101,+,0.133
62,37:114,24:101,+,0.149
63,37:114,1:8,+,0.234
64,37:114,34:111,+,0.185
65,37:114,24:101,+,0.143
66,41:118,32:109,+,0.333
67,41:118,24:101,+,0.143
68,41:118,24:101,+,0.136
69,41:118,24:101,+,0.133
70,41:118,24:101,+,0.133
71,41:118,24:101,+,0.141
72,41:118,24:101,+,0.136
73,41:118,24:101,+,0.136
74,41:118,20:97,+,0.327
75,41:118,22:99,+,0.333
76,41:118,44:121,+,0.3
77,41:118,24:101,+,0.133
78,41:118,24:101,+,0.136
79,41:118,24:101,+,0.133
80,41:118,24:101,+,0.143
81,41:118,22:99,+,0.221
82,41:118,45:122,+,0.333
83,41:118,20:97,+,0.196
84,41:118,24:101,+,0.133
85,41:118,24:101,+,0.141
86,41:118,44:121,+,0.266
87,41:118,20:97,+,0.155
88,44:121,45:122,+,0.3
89,44:121,20:97,+,0.155
90,44:121,35:112,+,0.332
91,44:121,20:97,+,0.3
92,44:121,24:101,+,0.143
93,44:121,24:101,+,0.193
94,44:121,30:107,+,0.095
95,44:121,22:99,+,0.221
96,44:121,24:101,+,0.143
97,44:121,23:100,+,0.135
98,44:121,24:101,+,0.141
99,44:121,24:101,+,0.133
100,44:121,20:97,+,0.157
101,44:121,44:121,,0.3
102,44:121,24:101,+,0.133
103,44:121,24:101,+,0.143
104,44:121,20:97,+,0.155
105,44:121,26:103,+,0.25
106,44:121,24:101,+,0.169
107,44:121,24:101,+,0.141
108,44:121,50:241,+,0.273
109,44:121,39:116,+,0.237
110,44:121,1:8,+,0.22
111,44:121,37:114,+,0.202
112,14:54,17:57,+,0.257
113,14:54,13:53,+,0.32
114,14:54,23:100,+,0.25
115,14:54,13:53,+,0.308
116,14:54,13:53,+,0.429
117,14:54,24:101,+,0.143
118,14:54,15:55,+,0.667
119,14:54,14:54,,0.625
120,14:54,15:55,+,0.4
121,14:54,1:8,+,0.5
122,14:54,15:55,+,0.5
123,35:112,24:101,+,0.133
124,35:112,24:101,+,0.143
125,35:112,24:101,+,0.136
126,35:112,24:101,+,0.141
127,35:112,24:101,+,0.143
128,35:112,24:101,+,0.143
129,35:112,24:101,+,0.136
130,35:112,24:101,+,0.141
131,35:112,24:101,+,0.141
132,35:112,24:101,+,0.141
133,35:112,24:101,+,0.133
134,35:112,20:97,+,0.155
135,35:112,34:111,+,0.185
136,35:112,24:101,+,0.143
137,35:112,22:99,+,0.2
138,35:112,32:109,+,0.462
139,35:112,36:113,+,0.556
140,35:112,24:101,+,0.136
141,35:112,34:111,+,0.336
142,35:112,24:101,+,0.143
143,35:112,24:101,+,0.141
144,35:112,18:60,+,0.5
145,35:112,24:101,+,0.133
146,35:112,26:103,+,0.133
147,35:112,50:241,+,0.333
148,1:8,41:118,+,0.269
149,1:8,24:101,+,0.141
150,1:8,24:101,+,0.136
151,1:8,24:101,+,0.133
152,1:8,24:101,+,0.136
153,1:8,34:111,+,0.26
154,1:8,24:101,+,0.141
155,1:8,24:101,+,0.143
156,1:8,24:101,+,0.143
157,1:8,50:241,+,0.333
158,1:8,24:101,+,0.141
159,1:8,20:97,+,0.249
160,1:8,1:8,,0.286
161,1:8,24:101,+,0.143
162,1:8,7:46,+,0.193
163,1:8,24:101,+,0.141
164,1:8,24:101,+,0.133
165,1:8,22:99,+,0.2
166,1:8,24:101,+,0.375
167,1:8,42:119,+,0.248
168,1:8,24:101,+,0.133
169,1:8,1:8,,0.234
170,1:8,9:49,+,0.25
171,1:8,38:115,+,0.385
172,1:8,24:101,+,0.141
173,1:8,24:101,+,0.333
174,1:8,24:101,+,0.133
175,1:8,50:241,+,0.5
176,1:8,24:101,+,0.133
177,1:8,24:101,+,0.133
178,1:8,24:101,+,0.141
179,1:8,24:101,+,0.136
180,1:8,24:101,+,0.141
181,1:8,8:48,+,0.402
182,1:8,24:101,+,0.143
183,31:108,24:101,+,0.143
184,31:108,24:101,+,0.141
185,31:108,24:101,+,0.143
186,31:108,24:101,+,0.133
187,31:108,24:101,+,0.141
188,31:108,24:101,+,0.133
189,31:108,24:101,+,0.133
190,31:108,24:101,+,0.141
191,31:108,24:101,+,0.141
192,31:108,24:101,+,0.141
193,31:108,24:101,+,0.143
194,31:108,24:101,+,0.141
195,31:108,24:101,+,0.133
196,31:108,24:101,+,0.136
197,31:108,24:101,+,0.141
198,31:108,24:101,+,0.136
199,31:108,24:101,+,0.141
200,31:108,24:101,+,0.265
201,31:108,24:101,+,0.133
202,31:108,20:97,+,0.155
203,31:108,24:101,+,0.141
204,31:108,24:101,+,0.133
205,31:108,24:101,+,0.141
206,31:108,20:97,+,0.155
207,31:108,24:101,+,0.143
