inst#,actual,predicted,error,prediction
1,46:161,20:97,+,0.339
2,46:161,7:46,+,0.331
3,46:161,38:115,+,0.263
4,46:161,8:48,+,0.245
5,46:161,39:116,+,0.333
6,46:161,3:39,+,0.187
7,46:161,47:180,+,0.18
8,46:161,24:101,+,0.138
9,46:161,24:101,+,0.151
10,46:161,13:53,+,0.365
11,46:161,32:109,+,0.444
12,46:161,24:101,+,0.126
13,46:161,19:96,+,0.5
14,46:161,49:231,+,0.299
15,46:161,3:39,+,0.187
16,46:161,3:39,+,0.277
17,46:161,46:161,,0.329
18,46:161,6:45,+,0.31
19,46:161,46:161,,0.307
20,46:161,24:101,+,0.138
21,46:161,46:161,,0.6
22,46:161,24:101,+,0.131
23,46:161,5:44,+,0.414
24,46:161,24:101,+,0.087
25,46:161,34:111,+,0.15
26,46:161,50:241,+,0.333
27,46:161,24:101,+,0.154
28,46:161,24:101,+,0.126
29,46:161,3:39,+,0.187
30,46:161,46:161,,0.361
31,46:161,31:108,+,0.5
32,46:161,24:101,+,0.135
33,46:161,6:45,+,0.107
34,46:161,6:45,+,0.576
35,46:161,37:114,+,0.249
36,46:161,3:39,+,0.187
37,41:118,24:101,+,0.16
38,41:118,24:101,+,0.135
39,41:118,24:101,+,0.138
40,41:118,24:101,+,0.162
41,41:118,1:8,+,0.211
42,41:118,24:101,+,0.138
43,41:118,24:101,+,0.13
44,41:118,24:101,+,0.135
45,41:118,17:57,+,0.454
46,41:118,26:103,+,0.2
47,41:118,24:101,+,0.131
48,41:118,24:101,+,0.099
49,41:118,39:116,+,0.2
50,41:118,50:241,+,0.5
51,41:118,48:186,+,0.188
52,41:118,33:110,+,0.414
53,41:118,20:97,+,0.333
54,41:118,24:101,+,0.126
55,41:118,24:101,+,0.135
56,41:118,24:101,+,0.234
57,41:118,22:99,+,0.333
58,41:118,12:52,+,0.282
59,41:118,39:116,+,0.171
60,41:118,24:101,+,0.135
61,41:118,23:100,+,0.333
62,41:118,24:101,+,0.138
63,41:118,24:101,+,0.135
64,41:118,20:97,+,0.267
65,41:118,41:118,,0.451
66,41:118,24:101,+,0.138
67,41:118,24:101,+,0.138
68,41:118,24:101,+,0.126
69,41:118,50:241,+,0.424
70,41:118,24:101,+,0.131
71,41:118,24:101,+,0.138
72,41:118,31:108,+,0.173
73,41:118,33:110,+,0.25
74,41:118,5:44,+,0.167
75,41:118,24:101,+,0.138
76,41:118,24:101,+,0.135
77,41:118,24:101,+,0.138
78,41:118,38:115,+,0.437
79,41:118,11:51,+,0.18
80,41:118,24:101,+,0.151
81,41:118,24:101,+,0.135
82,41:118,24:101,+,0.138
83,41:118,24:101,+,0.131
84,41:118,8:48,+,0.364
85,41:118,6:45,+,0.196
86,41:118,17:57,+,0.32
87,41:118,24:101,+,0.372
88,41:118,24:101,+,0.138
89,41:118,24:101,+,0.138
90,41:118,24:101,+,0.151
91,41:118,24:101,+,0.12
92,41:118,24:101,+,0.126
93,41:118,24:101,+,0.138
94,41:118,19:96,+,0.218
95,41:118,24:101,+,0.131
96,41:118,24:101,+,0.138
97,41:118,24:101,+,0.185
98,41:118,24:101,+,0.138
99,41:118,24:101,+,0.138
100,41:118,22:99,+,0.154
101,41:118,23:100,+,0.216
102,41:118,45:122,+,0.327
103,41:118,41:118,,0.262
104,41:118,41:118,,0.451
105,41:118,25:102,+,0.283
106,41:118,25:102,+,0.171
107,41:118,24:101,+,0.131
108,19:96,47:180,+,0.18
109,19:96,47:180,+,0.18
110,19:96,5:44,+,0.7
111,19:96,5:44,+,0.7
112,19:96,3:39,+,0.286
113,19:96,19:96,,0.66
114,19:96,47:180,+,0.3
115,19:96,18:60,+,0.438
116,19:96,19:96,,0.153
117,19:96,24:101,+,0.151
118,19:96,19:96,,0.204
119,19:96,24:101,+,0.151
120,19:96,3:39,+,0.373
121,19:96,47:180,+,0.18
122,19:96,39:116,+,0.444
123,19:96,47:180,+,0.329
124,19:96,32:109,+,0.289
125,19:96,46:161,+,0.307
126,19:96,47:180,+,0.315
127,19:96,3:39,+,0.187
128,19:96,46:161,+,0.307
129,19:96,24:101,+,0.122
130,19:96,19:96,,0.204
131,19:96,32:109,+,0.239
132,19:96,3:39,+,0.187
133,19:96,24:101,+,0.126
134,9:49,10:50,+,0.334
135,9:49,9:49,,0.205
136,9:49,24:101,+,0.138
137,9:49,24:101,+,0.138
138,9:49,5:44,+,0.286
139,9:49,24:101,+,0.214
140,9:49,8:48,+,0.333
141,9:49,24:101,+,0.122
142,9:49,24:101,+,0.135
143,9:49,24:101,+,0.13
144,9:49,6:45,+,0.6
145,9:49,9:49,,0.231
146,9:49,12:52,+,0.583
147,9:49,10:50,+,0.625
148,9:49,24:101,+,0.131
149,9:49,17:57,+,0.556
150,9:49,20:97,+,0.36
151,9:49,9:49,,0.254
152,9:49,10:50,+,0.15
153,9:49,10:50,+,0.334
154,9:49,9:49,,0.231
155,9:49,26:103,+,0.526
156,9:49,39:116,+,0.304
157,9:49,24:101,+,0.138
158,9:49,24:101,+,0.138
159,9:49,31:108,+,0.386
160,9:49,10:50,+,0.563
161,9:49,48:186,+,0.188
162,9:49,17:57,+,0.165
163,9:49,10:50,+,0.334
164,9:49,9:49,,0.231
165,9:49,10:50,+,0.165
166,9:49,24:101,+,0.126
167,9:49,24:101,+,0.138
168,9:49,10:50,+,0.248
169,9:49,9:49,,0.209
170,9:49,31:108,+,0.301
171,9:49,9:49,,0.415
172,9:49,10:50,+,0.447
173,9:49,9:49,,0.415
174,9:49,9:49,,0.268
175,9:49,9:49,,0.415
176,9:49,13:53,+,0.144
177,9:49,16:56,+,0.304
178,9:49,31:108,+,0.173
179,9:49,10:50,+,0.563
180,9:49,50:241,+,0.361
181,9:49,24:101,+,0.135
182,9:49,10:50,+,0.283
183,9:49,14:54,+,0.345
184,9:49,11:51,+,0.375
185,9:49,9:49,,0.254
186,9:49,24:101,+,0.131
187,9:49,16:56,+,0.243
188,9:49,24:101,+,0.124
189,9:49,24:101,+,0.138
190,9:49,14:54,+,0.253
191,9:49,24:101,+,0.138
192,9:49,12:52,+,0.547
193,37:114,37:114,,0.298
194,37:114,24:101,+,0.131
195,37:114,24:101,+,0.135
196,37:114,24:101,+,0.107
197,37:114,24:101,+,0.13
198,37:114,37:114,,0.698
199,37:114,24:101,+,0.18
200,37:114,24:101,+,0.132
201,37:114,24:101,+,0.138
202,37:114,24:101,+,0.138
203,37:114,24:101,+,0.138
204,37:114,38:115,+,0.5
205,37:114,6:45,+,0.31
206,37:114,24:101,+,0.13
207,37:114,28:105,+,0.57
208,37:114,24:101,+,0.135
209,37:114,37:114,,0.75
210,37:114,24:101,+,0.172
211,37:114,24:101,+,0.126
212,37:114,24:101,+,0.131
213,37:114,38:115,+,0.349
214,37:114,24:101,+,0.162
215,37:114,24:101,+,0.135
216,37:114,37:114,,0.698
217,37:114,24:101,+,0.13
218,37:114,12:52,+,0.286
219,37:114,37:114,,0.698
220,37:114,24:101,+,0.131
221,37:114,10:50,+,0.334
222,37:114,24:101,+,0.138
223,37:114,24:101,+,0.13
224,37:114,20:97,+,0.263
225,37:114,24:101,+,0.135
226,37:114,24:101,+,0.282
227,37:114,16:56,+,0.385
228,37:114,24:101,+,0.138
229,37:114,24:101,+,0.138
230,37:114,24:101,+,0.126
231,37:114,24:101,+,0.109
232,37:114,24:101,+,0.135
233,37:114,24:101,+,0.138
234,37:114,24:101,+,0.135
235,37:114,24:101,+,0.151
236,37:114,24:101,+,0.122
237,37:114,24:101,+,0.138
238,37:114,24:101,+,0.131
239,37:114,24:101,+,0.375
240,37:114,24:101,+,0.135
241,37:114,24:101,+,0.138
242,37:114,24:101,+,0.126
243,37:114,24:101,+,0.135
244,37:114,24:101,+,0.394
245,37:114,24:101,+,0.131
246,37:114,24:101,+,0.13
247,37:114,24:101,+,0.135
248,37:114,24:101,+,0.333
249,37:114,37:114,,0.156
250,37:114,24:101,+,0.135
251,37:114,24:101,+,0.126
252,37:114,24:101,+,0.172
253,37:114,24:101,+,0.131
254,37:114,24:101,+,0.126
255,37:114,24:101,+,0.135
256,37:114,24:101,+,0.13
257,37:114,24:101,+,0.227
258,37:114,24:101,+,0.138
259,37:114,42:119,+,0.244
260,37:114,24:101,+,0.13
261,37:114,24:101,+,0.131
262,37:114,37:114,,0.75
263,37:114,37:114,,0.625
264,37:114,24:101,+,0.138
265,37:114,24:101,+,0.158
266,37:114,24:101,+,0.135
267,37:114,24:101,+,0.151
268,37:114,24:101,+,0.135
269,37:114,24:101,+,0.151
270,37:114,24:101,+,0.13
271,37:114,20:97,+,0.181
272,37:114,24:101,+,0.138
273,37:114,24:101,+,0.195
274,37:114,20:97,+,0.174
275,37:114,24:101,+,0.138
276,37:114,24:101,+,0.138
277,37:114,24:101,+,0.157
278,37:114,31:108,+,0.386
279,37:114,24:101,+,0.135
280,37:114,24:101,+,0.135
281,37:114,24:101,+,0.138
282,37:114,24:101,+,0.138
283,37:114,24:101,+,0.135
284,37:114,24:101,+,0.135
285,37:114,24:101,+,0.131
286,37:114,24:101,+,0.131
287,37:114,24:101,+,0.13
288,37:114,24:101,+,0.307
289,37:114,37:114,,0.698
290,37:114,24:101,+,0.135
291,37:114,24:101,+,0.6
292,37:114,24:101,+,0.126
293,37:114,24:101,+,0.138
294,37:114,40:117,+,0.364
295,37:114,24:101,+,0.135
296,37:114,34:111,+,0.176
297,37:114,24:101,+,0.13
298,37:114,24:101,+,0.138
299,37:114,24:101,+,0.214
300,37:114,20:97,+,0.24
301,37:114,31:108,+,0.333
302,37:114,24:101,+,0.131
303,37:114,24:101,+,0.13
304,37:114,24:101,+,0.172
305,37:114,24:101,+,0.151
306,37:114,24:101,+,0.126
307,37:114,37:114,,0.698
308,37:114,24:101,+,0.131
309,37:114,24:101,+,0.138
310,37:114,20:97,+,0.24
311,37:114,24:101,+,0.131
312,37:114,24:101,+,0.138
313,37:114,37:114,,0.267
314,37:114,26:103,+,0.549
315,37:114,24:101,+,0.178
316,37:114,24:101,+,0.162
317,37:114,24:101,+,0.138
318,37:114,24:101,+,0.138
319,37:114,24:101,+,0.126
320,37:114,24:101,+,0.138
321,37:114,24:101,+,0.131
322,37:114,24:101,+,0.138
323,37:114,24:101,+,0.31
324,37:114,37:114,,0.243
325,37:114,24:101,+,0.131
326,37:114,40:117,+,0.197
327,37:114,24:101,+,0.138
328,37:114,24:101,+,0.13
329,37:114,24:101,+,0.126
330,37:114,33:110,+,0.286
331,37:114,24:101,+,0.191
332,37:114,24:101,+,0.138
333,37:114,24:101,+,0.135
334,37:114,24:101,+,0.138
335,37:114,37:114,,0.156
336,37:114,24:101,+,0.138
337,37:114,24:101,+,0.138
