inst#,actual,predicted,error,prediction
1,11:51,12:52,+,0.357
2,11:51,8:48,+,0.323
3,11:51,34:111,+,0.167
4,11:51,17:57,+,0.207
5,11:51,24:101,+,0.142
6,11:51,24:101,+,0.142
7,11:51,24:101,+,0.131
8,11:51,17:57,+,0.268
9,11:51,9:49,+,0.382
10,11:51,9:49,+,0.333
11,11:51,20:97,+,0.541
12,11:51,10:50,+,0.571
13,11:51,16:56,+,0.538
14,11:51,24:101,+,0.142
15,11:51,10:50,+,0.571
16,11:51,20:97,+,0.154
17,11:51,12:52,+,0.357
18,11:51,11:51,,0.222
19,11:51,10:50,+,0.429
20,11:51,24:101,+,0.131
21,11:51,24:101,+,0.156
22,11:51,10:50,+,0.523
23,11:51,11:51,,0.4
24,11:51,10:50,+,0.531
25,11:51,13:53,+,0.211
26,23:100,24:101,+,0.131
27,23:100,24:101,+,0.142
28,23:100,24:101,+,0.142
29,23:100,23:100,,0.446
30,23:100,24:101,+,0.131
31,23:100,38:115,+,0.187
32,23:100,23:100,,0.446
33,23:100,24:101,+,0.231
34,23:100,24:101,+,0.131
35,23:100,24:101,+,0.131
36,23:100,24:101,+,0.142
37,23:100,24:101,+,0.25
38,23:100,24:101,+,0.142
39,23:100,24:101,+,0.142
40,23:100,24:101,+,0.142
41,23:100,24:101,+,0.131
42,23:100,48:186,+,0.75
43,23:100,26:103,+,0.315
44,23:100,24:101,+,0.125
45,23:100,24:101,+,0.131
46,23:100,24:101,+,0.131
47,23:100,24:101,+,0.131
48,23:100,24:101,+,0.131
49,23:100,24:101,+,0.131
50,23:100,24:101,+,0.131
51,23:100,24:101,+,0.142
52,23:100,17:57,+,0.298
53,23:100,24:101,+,0.131
54,23:100,24:101,+,0.227
55,23:100,24:101,+,0.125
56,23:100,24:101,+,0.131
57,23:100,24:101,+,0.131
58,23:100,24:101,+,0.142
59,23:100,24:101,+,0.125
60,23:100,24:101,+,0.131
61,23:100,24:101,+,0.131
62,23:100,24:101,+,0.125
63,23:100,24:101,+,0.131
64,23:100,38:115,+,0.286
65,23:100,24:101,+,0.125
