inst#,actual,predicted,error,prediction
1,37:114,24:101,+,0.169
2,37:114,24:101,+,0.123
3,37:114,24:101,+,0.138
4,37:114,24:101,+,0.123
5,37:114,24:101,+,0.154
6,37:114,24:101,+,0.154
7,37:114,24:101,+,0.138
8,37:114,20:97,+,0.154
9,37:114,1:8,+,0.092
10,37:114,20:97,+,0.138
11,37:114,20:97,+,0.169
12,37:114,20:97,+,0.154
13,37:114,24:101,+,0.138
14,37:114,24:101,+,0.123
15,37:114,24:101,+,0.215
16,37:114,24:101,+,0.138
17,37:114,24:101,+,0.185
18,37:114,20:97,+,0.169
19,37:114,20:97,+,0.138
20,37:114,24:101,+,0.215
21,37:114,20:97,+,0.154
22,37:114,20:97,+,0.138
23,37:114,20:97,+,0.231
24,37:114,1:8,+,0.123
25,37:114,20:97,+,0.138
26,37:114,24:101,+,0.185
27,37:114,20:97,+,0.154
28,37:114,20:97,+,0.138
29,37:114,20:97,+,0.185
30,37:114,31:108,+,0.154
31,37:114,37:114,,0.154
32,37:114,1:8,+,0.169
33,37:114,24:101,+,0.215
34,37:114,24:101,+,0.2
35,37:114,24:101,+,0.169
36,37:114,24:101,+,0.185
37,37:114,24:101,+,0.154
38,37:114,24:101,+,0.169
39,37:114,24:101,+,0.2
40,37:114,24:101,+,0.277
41,37:114,24:101,+,0.231
42,37:114,24:101,+,0.154
43,37:114,34:111,+,0.154
44,37:114,24:101,+,0.185
45,37:114,33:110,+,0.138
46,37:114,24:101,+,0.138
47,37:114,24:101,+,0.215
48,37:114,37:114,,0.231
49,37:114,24:101,+,0.2
50,37:114,24:101,+,0.154
51,37:114,20:97,+,0.169
52,37:114,24:101,+,0.169
53,37:114,24:101,+,0.2
54,37:114,24:101,+,0.169
55,37:114,34:111,+,0.154
56,37:114,37:114,,0.138
57,37:114,24:101,+,0.185
58,37:114,24:101,+,0.154
59,37:114,24:101,+,0.169
60,37:114,24:101,+,0.292
61,37:114,20:97,+,0.185
62,37:114,20:97,+,0.154
63,37:114,20:97,+,0.123
64,37:114,24:101,+,0.185
65,37:114,24:101,+,0.277
66,41:118,30:107,+,0.123
67,41:118,20:97,+,0.138
68,41:118,24:101,+,0.154
69,41:118,1:8,+,0.123
70,41:118,1:8,+,0.185
71,41:118,24:101,+,0.2
72,41:118,24:101,+,0.108
73,41:118,20:97,+,0.108
74,41:118,20:97,+,0.2
75,41:118,22:99,+,0.123
76,41:118,21:98,+,0.123
77,41:118,24:101,+,0.169
78,41:118,24:101,+,0.123
79,41:118,24:101,+,0.185
80,41:118,20:97,+,0.138
81,41:118,21:98,+,0.092
82,41:118,26:103,+,0.092
83,41:118,22:99,+,0.077
84,41:118,20:97,+,0.185
