inst#,actual,predicted,error,prediction
1,38:117,22:101,+,0.123
2,38:117,22:101,+,0.169
3,38:117,22:101,+,0.123
4,38:117,36:115,+,0.123
5,38:117,18:97,+,0.2
6,38:117,22:101,+,0.185
7,38:117,18:97,+,0.169
8,38:117,36:115,+,0.169
9,38:117,32:111,+,0.123
10,38:117,32:111,+,0.154
11,38:117,32:111,+,0.154
12,38:117,22:101,+,0.185
13,38:117,26:105,+,0.123
14,38:117,32:111,+,0.138
15,38:117,22:101,+,0.231
16,38:117,22:101,+,0.138
17,38:117,36:115,+,0.123
18,38:117,32:111,+,0.154
19,38:117,22:101,+,0.169
20,38:117,22:101,+,0.2
21,38:117,31:110,+,0.138
22,38:117,22:101,+,0.154
23,38:117,36:115,+,0.138
24,38:117,22:101,+,0.138
25,38:117,22:101,+,0.154
26,38:117,22:101,+,0.154
27,38:117,22:101,+,0.138
28,38:117,36:115,+,0.169
29,38:117,22:101,+,0.246
30,22:101,18:97,+,0.138
31,22:101,22:101,,0.169
32,22:101,22:101,,0.231
33,22:101,22:101,,0.123
34,22:101,22:101,,0.123
35,22:101,22:101,,0.138
36,22:101,22:101,,0.138
37,22:101,18:97,+,0.138
38,22:101,18:97,+,0.108
39,22:101,22:101,,0.138
40,22:101,22:101,,0.154
41,22:101,22:101,,0.123
42,22:101,35:114,+,0.185
43,22:101,22:101,,0.138
44,22:101,22:101,,0.138
45,22:101,18:97,+,0.138
46,22:101,18:97,+,0.123
47,22:101,22:101,,0.123
48,22:101,22:101,,0.2
49,22:101,35:114,+,0.154
50,22:101,22:101,,0.2
51,22:101,22:101,,0.185
52,22:101,32:111,+,0.123
53,22:101,32:111,+,0.138
54,22:101,32:111,+,0.092
55,22:101,35:114,+,0.215
56,22:101,22:101,,0.154
57,22:101,18:97,+,0.169
58,22:101,32:111,+,0.138
59,22:101,32:111,+,0.154
60,22:101,22:101,,0.169
61,22:101,30:109,+,0.077
62,22:101,22:101,,0.231
63,22:101,18:97,+,0.185
64,22:101,32:111,+,0.138
65,22:101,22:101,,0.231
66,22:101,22:101,,0.185
67,22:101,22:101,,0.138
68,22:101,29:108,+,0.123
69,22:101,22:101,,0.169
70,22:101,22:101,,0.2
71,22:101,18:97,+,0.138
72,22:101,22:101,,0.169
73,22:101,22:101,,0.154
74,22:101,18:97,+,0.154
75,22:101,18:97,+,0.108
76,22:101,22:101,,0.077
77,22:101,18:97,+,0.154
78,22:101,18:97,+,0.154
79,22:101,22:101,,0.2
80,22:101,32:111,+,0.123
81,22:101,31:110,+,0.123
82,22:101,1:8,+,0.215
83,22:101,32:111,+,0.138
84,22:101,22:101,,0.154
85,22:101,18:97,+,0.154
86,22:101,22:101,,0.215
87,22:101,18:97,+,0.077
88,22:101,34:113,+,0.123
89,22:101,22:101,,0.108
90,22:101,22:101,,0.138
91,22:101,22:101,,0.185
