inst#,actual,predicted,error,prediction
1,10:50,9:49,+,0.169
2,10:50,11:51,+,0.169
3,10:50,24:101,+,0.2
4,10:50,9:49,+,0.123
5,10:50,9:49,+,0.077
6,10:50,11:51,+,0.169
7,10:50,13:53,+,0.108
8,10:50,9:49,+,0.138
9,10:50,10:50,,0.154
10,10:50,10:50,,0.108
11,10:50,10:50,,0.154
12,10:50,20:97,+,0.092
13,10:50,38:115,+,0.169
14,10:50,11:51,+,0.154
15,10:50,7:46,+,0.092
16,10:50,11:51,+,0.185
17,10:50,18:60,+,0.154
18,10:50,9:49,+,0.108
19,10:50,20:97,+,0.108
20,10:50,24:101,+,0.154
21,10:50,31:108,+,0.092
22,10:50,11:51,+,0.077
23,10:50,10:50,,0.138
24,48:186,18:60,+,0.169
25,48:186,18:60,+,0.138
26,48:186,34:111,+,0.138
27,48:186,18:60,+,0.385
28,48:186,5:44,+,0.092
29,48:186,47:180,+,0.154
30,48:186,18:60,+,0.415
31,48:186,3:39,+,0.108
32,48:186,48:186,,0.138
33,48:186,18:60,+,0.292
34,48:186,18:60,+,0.323
35,20:97,39:116,+,0.123
36,20:97,33:110,+,0.108
37,20:97,24:101,+,0.2
38,20:97,20:97,,0.138
39,20:97,24:101,+,0.169
40,20:97,24:101,+,0.185
41,20:97,24:101,+,0.154
42,20:97,20:97,,0.169
43,20:97,24:101,+,0.246
44,20:97,24:101,+,0.092
45,20:97,24:101,+,0.2
46,20:97,24:101,+,0.138
47,20:97,24:101,+,0.215
48,20:97,24:101,+,0.123
49,20:97,24:101,+,0.169
50,20:97,24:101,+,0.2
51,20:97,20:97,,0.123
52,20:97,20:97,,0.154
53,20:97,20:97,,0.108
54,20:97,20:97,,0.138
55,20:97,31:108,+,0.154
56,20:97,24:101,+,0.154
57,20:97,1:8,+,0.292
58,20:97,34:111,+,0.138
59,20:97,24:101,+,0.154
60,20:97,24:101,+,0.185
61,20:97,20:97,,0.169
62,20:97,24:101,+,0.277
63,20:97,24:101,+,0.154
64,20:97,24:101,+,0.154
65,20:97,24:101,+,0.169
66,20:97,1:8,+,0.215
67,20:97,24:101,+,0.154
68,20:97,20:97,,0.092
69,20:97,24:101,+,0.185
70,20:97,24:101,+,0.108
71,20:97,24:101,+,0.169
72,20:97,24:101,+,0.215
73,20:97,20:97,,0.154
74,20:97,20:97,,0.092
75,20:97,1:8,+,0.138
76,20:97,24:101,+,0.123
77,20:97,24:101,+,0.215
78,20:97,24:101,+,0.138
79,20:97,24:101,+,0.215
80,20:97,24:101,+,0.154
81,20:97,24:101,+,0.138
82,20:97,24:101,+,0.185
83,20:97,34:111,+,0.215
84,20:97,20:97,,0.138
85,20:97,20:97,,0.138
86,20:97,20:97,,0.138
87,20:97,24:101,+,0.138
88,20:97,20:97,,0.123
89,20:97,24:101,+,0.169
90,20:97,24:101,+,0.185
91,20:97,20:97,,0.185
92,20:97,24:101,+,0.2
93,20:97,24:101,+,0.2
94,20:97,24:101,+,0.138
95,20:97,28:105,+,0.123
96,20:97,24:101,+,0.169
97,20:97,24:101,+,0.138
98,20:97,24:101,+,0.138
99,20:97,24:101,+,0.2
100,20:97,24:101,+,0.154
101,20:97,24:101,+,0.231
102,20:97,24:101,+,0.154
103,20:97,24:101,+,0.169
104,20:97,24:101,+,0.2
105,20:97,34:111,+,0.169
106,20:97,24:101,+,0.169
107,20:97,39:116,+,0.123
108,20:97,24:101,+,0.2
109,20:97,24:101,+,0.108
110,20:97,24:101,+,0.323
111,20:97,24:101,+,0.169
112,20:97,24:101,+,0.169
113,20:97,20:97,,0.169
114,20:97,24:101,+,0.154
115,20:97,24:101,+,0.292
116,20:97,24:101,+,0.154
117,20:97,33:110,+,0.185
118,20:97,20:97,,0.154
119,20:97,20:97,,0.185
120,20:97,24:101,+,0.138
121,20:97,24:101,+,0.154
122,20:97,24:101,+,0.2
123,20:97,24:101,+,0.169
124,20:97,20:97,,0.154
125,20:97,24:101,+,0.292
126,20:97,24:101,+,0.231
127,20:97,34:111,+,0.154
128,20:97,24:101,+,0.169
129,20:97,24:101,+,0.185
130,20:97,24:101,+,0.108
131,20:97,33:110,+,0.108
132,20:97,24:101,+,0.185
133,20:97,24:101,+,0.108
134,20:97,24:101,+,0.2
135,20:97,24:101,+,0.2
136,20:97,20:97,,0.154
137,20:97,20:97,,0.108
138,20:97,24:101,+,0.185
139,20:97,24:101,+,0.169
140,20:97,24:101,+,0.169
141,20:97,20:97,,0.277
142,20:97,16:56,+,0.154
143,20:97,20:97,,0.138
144,20:97,24:101,+,0.138
145,20:97,24:101,+,0.2
146,20:97,20:97,,0.154
147,20:97,24:101,+,0.123
148,20:97,24:101,+,0.123
149,20:97,24:101,+,0.2
150,20:97,38:115,+,0.123
151,20:97,20:97,,0.123
152,20:97,37:114,+,0.138
153,20:97,24:101,+,0.154
154,20:97,33:110,+,0.138
155,20:97,24:101,+,0.108
156,20:97,24:101,+,0.2
157,20:97,24:101,+,0.154
158,20:97,24:101,+,0.185
159,20:97,24:101,+,0.262
160,20:97,24:101,+,0.215
161,20:97,24:101,+,0.169
162,20:97,24:101,+,0.215
163,20:97,24:101,+,0.123
164,20:97,24:101,+,0.169
165,20:97,24:101,+,0.185
166,20:97,24:101,+,0.185
167,20:97,20:97,,0.185
168,20:97,24:101,+,0.138
169,20:97,24:101,+,0.2
170,20:97,20:97,,0.138
171,20:97,24:101,+,0.185
172,20:97,24:101,+,0.277
173,20:97,20:97,,0.2
174,20:97,24:101,+,0.2
175,20:97,24:101,+,0.169
176,20:97,20:97,,0.185
177,20:97,8:48,+,0.154
178,20:97,24:101,+,0.154
179,20:97,24:101,+,0.185
180,20:97,20:97,,0.231
181,20:97,40:117,+,0.123
182,20:97,38:115,+,0.123
183,20:97,20:97,,0.138
184,20:97,24:101,+,0.123
185,20:97,20:97,,0.2
186,20:97,24:101,+,0.092
187,20:97,20:97,,0.123
188,20:97,20:97,,0.154
189,20:97,20:97,,0.138
190,20:97,24:101,+,0.092
191,20:97,24:101,+,0.138
192,20:97,20:97,,0.123
193,20:97,24:101,+,0.138
194,20:97,24:101,+,0.138
195,20:97,38:115,+,0.138
196,20:97,24:101,+,0.169
197,20:97,24:101,+,0.185
198,20:97,29:106,+,0.077
199,20:97,20:97,,0.215
200,20:97,24:101,+,0.169
201,20:97,20:97,,0.108
202,20:97,24:101,+,0.154
203,20:97,34:111,+,0.138
204,20:97,24:101,+,0.185
205,20:97,20:97,,0.154
206,20:97,37:114,+,0.138
207,20:97,24:101,+,0.185
208,20:97,11:51,+,0.108
209,20:97,24:101,+,0.138
210,20:97,20:97,,0.138
211,20:97,1:8,+,0.108
212,20:97,20:97,,0.215
213,20:97,34:111,+,0.108
214,20:97,33:110,+,0.138
215,20:97,24:101,+,0.231
216,20:97,24:101,+,0.2
217,20:97,20:97,,0.138
218,20:97,34:111,+,0.092
219,20:97,24:101,+,0.154
220,20:97,24:101,+,0.169
221,20:97,24:101,+,0.138
222,20:97,20:97,,0.123
223,20:97,24:101,+,0.123
224,20:97,24:101,+,0.138
225,20:97,37:114,+,0.123
226,20:97,33:110,+,0.154
227,20:97,20:97,,0.169
228,20:97,24:101,+,0.185
229,20:97,24:101,+,0.108
230,20:97,24:101,+,0.169
231,20:97,20:97,,0.154
232,20:97,24:101,+,0.123
233,20:97,20:97,,0.138
234,20:97,24:101,+,0.138
235,20:97,20:97,,0.169
236,20:97,24:101,+,0.215
237,20:97,24:101,+,0.231
238,20:97,1:8,+,0.108
239,20:97,20:97,,0.169
240,20:97,20:97,,0.138
241,20:97,24:101,+,0.092
242,20:97,20:97,,0.138
243,20:97,24:101,+,0.215
244,20:97,24:101,+,0.215
245,20:97,24:101,+,0.138
246,20:97,24:101,+,0.138
247,20:97,24:101,+,0.138
248,20:97,24:101,+,0.185
249,20:97,20:97,,0.123
250,20:97,24:101,+,0.138
251,20:97,46:161,+,0.092
252,20:97,1:8,+,0.185
253,20:97,20:97,,0.154
254,20:97,20:97,,0.123
255,20:97,24:101,+,0.169
256,20:97,24:101,+,0.185
257,20:97,1:8,+,0.154
258,20:97,24:101,+,0.185
259,20:97,24:101,+,0.154
260,20:97,1:8,+,0.2
261,20:97,24:101,+,0.138
262,28:105,9:49,+,0.138
263,28:105,20:97,+,0.138
264,28:105,24:101,+,0.169
265,28:105,20:97,+,0.123
266,28:105,24:101,+,0.169
267,28:105,20:97,+,0.2
268,28:105,24:101,+,0.215
269,28:105,34:111,+,0.123
270,28:105,20:97,+,0.169
271,28:105,7:46,+,0.077
272,28:105,24:101,+,0.169
273,28:105,24:101,+,0.138
274,28:105,20:97,+,0.246
275,28:105,24:101,+,0.138
276,28:105,20:97,+,0.246
277,28:105,20:97,+,0.123
278,28:105,20:97,+,0.169
279,28:105,20:97,+,0.154
280,28:105,38:115,+,0.138
281,28:105,20:97,+,0.108
282,28:105,24:101,+,0.154
283,28:105,33:110,+,0.154
284,28:105,24:101,+,0.138
285,28:105,38:115,+,0.092
286,28:105,24:101,+,0.123
287,28:105,24:101,+,0.108
288,28:105,24:101,+,0.215
289,28:105,24:101,+,0.154
290,28:105,31:108,+,0.154
291,28:105,24:101,+,0.185
292,28:105,24:101,+,0.185
293,28:105,24:101,+,0.123
294,28:105,20:97,+,0.169
295,28:105,24:101,+,0.169
296,28:105,24:101,+,0.2
297,28:105,24:101,+,0.154
298,28:105,20:97,+,0.123
299,28:105,31:108,+,0.092
300,28:105,20:97,+,0.077
301,28:105,37:114,+,0.169
302,28:105,24:101,+,0.169
303,28:105,24:101,+,0.169
304,28:105,24:101,+,0.123
305,28:105,38:115,+,0.154
306,28:105,34:111,+,0.169
307,28:105,24:101,+,0.169
308,28:105,1:8,+,0.154
309,28:105,24:101,+,0.231
310,28:105,20:97,+,0.123
311,28:105,24:101,+,0.185
312,28:105,24:101,+,0.123
313,28:105,24:101,+,0.169
314,28:105,37:114,+,0.154
315,28:105,24:101,+,0.154
316,28:105,24:101,+,0.215
317,28:105,24:101,+,0.185
318,28:105,20:97,+,0.154
319,28:105,34:111,+,0.2
320,28:105,24:101,+,0.185
321,28:105,24:101,+,0.169
322,28:105,24:101,+,0.169
323,28:105,37:114,+,0.185
324,28:105,24:101,+,0.123
325,28:105,20:97,+,0.2
326,28:105,24:101,+,0.2
327,28:105,20:97,+,0.185
328,28:105,24:101,+,0.169
329,28:105,20:97,+,0.169
330,28:105,24:101,+,0.138
331,28:105,24:101,+,0.154
332,28:105,28:105,,0.108
333,28:105,20:97,+,0.169
334,28:105,20:97,+,0.123
335,28:105,24:101,+,0.154
336,28:105,24:101,+,0.138
337,28:105,24:101,+,0.154
338,28:105,38:115,+,0.077
339,28:105,24:101,+,0.138
340,28:105,24:101,+,0.138
341,28:105,24:101,+,0.2
342,28:105,20:97,+,0.169
343,28:105,33:110,+,0.154
344,28:105,24:101,+,0.185
345,28:105,20:97,+,0.108
346,28:105,31:108,+,0.108
347,28:105,24:101,+,0.231
348,28:105,24:101,+,0.123
349,28:105,24:101,+,0.154
350,28:105,38:115,+,0.154
351,28:105,24:101,+,0.154
352,28:105,20:97,+,0.108
353,28:105,24:101,+,0.169
354,28:105,20:97,+,0.154
355,28:105,24:101,+,0.215
356,31:108,20:97,+,0.169
