inst#,actual,predicted,error,prediction
1,20:97,38:115,+,1
2,20:97,24:101,+,1
3,20:97,24:101,+,1
4,20:97,24:101,+,1
5,20:97,24:101,+,1
6,20:97,24:101,+,1
7,20:97,37:114,+,1
8,20:97,34:111,+,1
9,20:97,24:101,+,1
10,20:97,24:101,+,1
11,20:97,34:111,+,1
12,20:97,24:101,+,1
13,20:97,20:97,,1
14,20:97,24:101,+,1
15,20:97,20:97,,1
16,20:97,24:101,+,1
17,20:97,20:97,,1
18,20:97,24:101,+,1
19,20:97,24:101,+,1
20,20:97,38:115,+,1
21,20:97,24:101,+,1
22,20:97,24:101,+,1
23,20:97,24:101,+,1
24,20:97,24:101,+,1
25,20:97,20:97,,1
26,20:97,24:101,+,1
27,20:97,31:108,+,1
28,20:97,24:101,+,1
29,20:97,24:101,+,1
30,20:97,24:101,+,1
31,20:97,24:101,+,1
32,20:97,24:101,+,1
33,20:97,24:101,+,1
34,20:97,24:101,+,1
35,20:97,24:101,+,1
36,20:97,24:101,+,1
37,20:97,20:97,,1
38,20:97,24:101,+,1
39,20:97,34:111,+,1
40,20:97,20:97,,1
41,20:97,24:101,+,1
42,20:97,24:101,+,1
43,20:97,34:111,+,1
44,20:97,24:101,+,1
45,20:97,34:111,+,1
46,20:97,24:101,+,1
47,20:97,24:101,+,1
48,20:97,38:115,+,1
49,20:97,24:101,+,1
50,20:97,24:101,+,1
51,20:97,24:101,+,1
52,20:97,24:101,+,1
53,20:97,20:97,,1
54,20:97,24:101,+,1
55,20:97,20:97,,1
56,20:97,24:101,+,1
57,20:97,20:97,,1
58,20:97,38:115,+,1
59,20:97,20:97,,1
60,20:97,24:101,+,1
61,20:97,39:116,+,1
62,20:97,20:97,,1
63,20:97,24:101,+,1
64,20:97,24:101,+,1
65,20:97,24:101,+,1
66,20:97,24:101,+,1
67,20:97,24:101,+,1
68,20:97,24:101,+,1
69,20:97,24:101,+,1
70,20:97,24:101,+,1
71,20:97,38:115,+,1
72,20:97,24:101,+,1
73,20:97,24:101,+,1
74,20:97,24:101,+,1
75,20:97,20:97,,1
76,20:97,24:101,+,1
77,20:97,20:97,,1
78,20:97,24:101,+,1
79,20:97,24:101,+,1
80,20:97,20:97,,1
81,20:97,24:101,+,1
82,20:97,20:97,,1
83,20:97,1:8,+,1
84,20:97,38:115,+,1
85,20:97,24:101,+,1
86,20:97,39:116,+,1
87,20:97,20:97,,1
88,20:97,20:97,,1
89,20:97,24:101,+,1
90,20:97,24:101,+,1
91,20:97,20:97,,1
92,20:97,33:110,+,1
93,20:97,20:97,,1
94,20:97,24:101,+,1
95,20:97,24:101,+,1
96,20:97,24:101,+,1
97,20:97,24:101,+,1
98,20:97,24:101,+,1
99,20:97,24:101,+,1
100,20:97,24:101,+,1
101,20:97,24:101,+,1
102,20:97,24:101,+,1
103,20:97,24:101,+,1
104,20:97,24:101,+,1
105,20:97,20:97,,1
106,20:97,24:101,+,1
107,20:97,24:101,+,1
108,20:97,24:101,+,1
109,20:97,24:101,+,1
110,20:97,20:97,,1
111,20:97,24:101,+,1
112,20:97,24:101,+,1
113,20:97,20:97,,1
114,20:97,24:101,+,1
115,20:97,20:97,,1
116,20:97,33:110,+,1
117,20:97,33:110,+,1
118,20:97,20:97,,1
119,20:97,20:97,,1
120,20:97,24:101,+,1
121,20:97,24:101,+,1
122,20:97,24:101,+,1
123,20:97,20:97,,1
124,20:97,24:101,+,1
125,20:97,20:97,,1
126,20:97,24:101,+,1
127,20:97,39:116,+,1
128,20:97,20:97,,1
129,20:97,24:101,+,1
130,20:97,20:97,,1
131,20:97,24:101,+,1
132,20:97,24:101,+,1
133,20:97,38:115,+,1
134,20:97,20:97,,1
135,20:97,24:101,+,1
136,20:97,24:101,+,1
137,20:97,24:101,+,1
138,20:97,24:101,+,1
139,20:97,24:101,+,1
140,20:97,24:101,+,1
141,20:97,24:101,+,1
142,20:97,24:101,+,1
143,20:97,24:101,+,1
144,20:97,24:101,+,1
145,20:97,24:101,+,1
146,20:97,20:97,,1
147,20:97,24:101,+,1
148,20:97,24:101,+,1
149,20:97,20:97,,1
150,20:97,24:101,+,1
151,20:97,20:97,,1
152,20:97,24:101,+,1
153,20:97,24:101,+,1
154,20:97,24:101,+,1
155,20:97,24:101,+,1
156,20:97,24:101,+,1
157,20:97,24:101,+,1
158,20:97,20:97,,1
159,20:97,24:101,+,1
160,20:97,24:101,+,1
161,20:97,24:101,+,1
162,20:97,24:101,+,1
163,20:97,24:101,+,1
164,20:97,24:101,+,1
165,20:97,24:101,+,1
166,20:97,24:101,+,1
167,20:97,31:108,+,1
168,20:97,24:101,+,1
169,20:97,24:101,+,1
170,20:97,24:101,+,1
171,20:97,24:101,+,1
172,20:97,24:101,+,1
173,20:97,24:101,+,1
174,20:97,20:97,,1
175,20:97,20:97,,1
176,20:97,33:110,+,1
177,20:97,37:114,+,1
178,20:97,24:101,+,1
179,20:97,20:97,,1
180,20:97,24:101,+,1
181,20:97,24:101,+,1
182,20:97,20:97,,1
183,20:97,24:101,+,1
184,20:97,23:100,+,1
185,20:97,24:101,+,1
186,20:97,20:97,,1
187,20:97,24:101,+,1
188,20:97,24:101,+,1
189,20:97,24:101,+,1
190,20:97,37:114,+,1
191,20:97,20:97,,1
192,20:97,24:101,+,1
193,20:97,24:101,+,1
194,20:97,24:101,+,1
195,20:97,24:101,+,1
196,20:97,24:101,+,1
197,20:97,38:115,+,1
198,20:97,37:114,+,1
199,20:97,24:101,+,1
200,20:97,24:101,+,1
201,20:97,34:111,+,1
202,20:97,24:101,+,1
203,20:97,24:101,+,1
204,20:97,24:101,+,1
205,20:97,24:101,+,1
206,20:97,24:101,+,1
207,20:97,24:101,+,1
208,20:97,20:97,,1
209,20:97,38:115,+,1
210,20:97,20:97,,1
211,20:97,20:97,,1
212,20:97,24:101,+,1
213,20:97,24:101,+,1
214,20:97,24:101,+,1
215,20:97,28:105,+,1
216,20:97,24:101,+,1
217,20:97,24:101,+,1
218,20:97,24:101,+,1
219,20:97,20:97,,1
220,20:97,24:101,+,1
221,20:97,24:101,+,1
222,20:97,24:101,+,1
223,20:97,24:101,+,1
224,20:97,1:8,+,1
225,20:97,24:101,+,1
226,20:97,20:97,,1
227,20:97,24:101,+,1
228,20:97,24:101,+,1
229,20:97,24:101,+,1
230,20:97,24:101,+,1
231,20:97,24:101,+,1
232,20:97,24:101,+,1
233,20:97,24:101,+,1
234,20:97,24:101,+,1
235,20:97,24:101,+,1
236,20:97,24:101,+,1
237,20:97,24:101,+,1
238,20:97,20:97,,1
239,20:97,20:97,,1
240,20:97,24:101,+,1
241,20:97,24:101,+,1
242,20:97,24:101,+,1
243,20:97,33:110,+,1
244,20:97,20:97,,1
245,20:97,24:101,+,1
246,20:97,38:115,+,1
247,20:97,24:101,+,1
248,20:97,24:101,+,1
249,20:97,24:101,+,1
250,20:97,24:101,+,1
251,20:97,24:101,+,1
252,20:97,20:97,,1
253,20:97,39:116,+,1
254,20:97,24:101,+,1
255,20:97,24:101,+,1
256,20:97,24:101,+,1
257,20:97,24:101,+,1
258,20:97,24:101,+,1
259,20:97,24:101,+,1
260,20:97,24:101,+,1
261,20:97,24:101,+,1
262,20:97,20:97,,1
263,20:97,24:101,+,1
264,20:97,24:101,+,1
265,20:97,20:97,,1
266,20:97,24:101,+,1
267,20:97,24:101,+,1
268,20:97,24:101,+,1
269,20:97,24:101,+,1
270,20:97,34:111,+,1
271,20:97,38:115,+,1
272,20:97,24:101,+,1
273,20:97,20:97,,1
274,20:97,20:97,,1
275,20:97,24:101,+,1
276,20:97,24:101,+,1
277,20:97,24:101,+,1
278,20:97,24:101,+,1
279,20:97,24:101,+,1
280,20:97,24:101,+,1
281,20:97,24:101,+,1
282,20:97,20:97,,1
283,20:97,24:101,+,1
284,20:97,24:101,+,1
285,20:97,24:101,+,1
286,20:97,24:101,+,1
287,20:97,24:101,+,1
288,20:97,22:99,+,1
289,20:97,24:101,+,1
290,20:97,24:101,+,1
291,20:97,20:97,,1
292,20:97,24:101,+,1
293,20:97,20:97,,1
294,20:97,24:101,+,1
295,20:97,20:97,,1
296,20:97,24:101,+,1
297,20:97,38:115,+,1
298,20:97,24:101,+,1
299,20:97,24:101,+,1
300,20:97,24:101,+,1
301,20:97,20:97,,1
302,20:97,24:101,+,1
303,20:97,24:101,+,1
304,20:97,24:101,+,1
305,20:97,24:101,+,1
306,20:97,24:101,+,1
307,20:97,24:101,+,1
308,20:97,24:101,+,1
309,20:97,24:101,+,1
310,20:97,24:101,+,1
311,20:97,24:101,+,1
312,20:97,24:101,+,1
313,20:97,24:101,+,1
314,20:97,24:101,+,1
315,20:97,20:97,,1
316,20:97,37:114,+,1
317,20:97,24:101,+,1
318,20:97,33:110,+,1
319,20:97,34:111,+,1
320,20:97,24:101,+,1
321,20:97,24:101,+,1
322,20:97,24:101,+,1
323,20:97,20:97,,1
324,20:97,24:101,+,1
325,20:97,20:97,,1
326,20:97,20:97,,1
327,20:97,24:101,+,1
328,20:97,20:97,,1
329,20:97,24:101,+,1
330,20:97,24:101,+,1
331,20:97,24:101,+,1
332,20:97,24:101,+,1
333,20:97,24:101,+,1
334,20:97,20:97,,1
335,20:97,24:101,+,1
336,20:97,20:97,,1
337,20:97,31:108,+,1
338,20:97,24:101,+,1
339,20:97,24:101,+,1
340,20:97,24:101,+,1
341,20:97,34:111,+,1
342,20:97,24:101,+,1
343,20:97,24:101,+,1
344,20:97,20:97,,1
345,20:97,24:101,+,1
346,20:97,20:97,,1
347,20:97,24:101,+,1
348,20:97,33:110,+,1
349,20:97,37:114,+,1
350,20:97,24:101,+,1
351,20:97,24:101,+,1
352,20:97,24:101,+,1
353,20:97,24:101,+,1
354,20:97,24:101,+,1
355,20:97,24:101,+,1
356,20:97,24:101,+,1
357,20:97,24:101,+,1
358,20:97,20:97,,1
359,20:97,20:97,,1
360,20:97,24:101,+,1
361,20:97,24:101,+,1
362,20:97,24:101,+,1
363,20:97,24:101,+,1
364,20:97,24:101,+,1
365,20:97,34:111,+,1
366,20:97,24:101,+,1
367,20:97,20:97,,1
368,20:97,24:101,+,1
369,20:97,24:101,+,1
370,20:97,20:97,,1
371,20:97,20:97,,1
372,20:97,24:101,+,1
